distance x [m],distance y [m],distance z [m],x anlge [rad],y angle [rad],z angle [rad]
-0.0050223675,-0.0621641042,1.0189347105,-3.1305251122,-0.0073968819,-0.0002411018
-0.0053889224,-0.0622493170,1.0169338480,3.1314291954,0.0045539979,0.0013875352
-0.0053889224,-0.0622493170,1.0169338480,3.1314291954,0.0045539979,0.0013875352
-0.0053889224,-0.0622493170,1.0169338480,3.1314291954,0.0045539979,0.0013875352
-0.0050223675,-0.0621641042,1.0189347105,-3.1305251122,-0.0073968819,-0.0002411018
-0.0050223675,-0.0621641042,1.0189347105,-3.1305251122,-0.0073968819,-0.0002411018
-0.0053889224,-0.0622493170,1.0169338480,3.1314291954,0.0045539979,0.0013875352
-0.0050223675,-0.0621641042,1.0189347105,-3.1305251122,-0.0073968819,-0.0002411018
-0.0053889224,-0.0622493170,1.0169338480,3.1314291954,0.0045539979,0.0013875352
-0.0050223675,-0.0621641042,1.0189347105,-3.1305251122,-0.0073968819,-0.0002411018
-0.0050223675,-0.0621641042,1.0189347105,-3.1305251122,-0.0073968819,-0.0002411018
-0.0050223675,-0.0621641042,1.0189347105,-3.1305251122,-0.0073968819,-0.0002411018
-0.0050223675,-0.0621641042,1.0189347105,-3.1305251122,-0.0073968819,-0.0002411018
-0.0050223675,-0.0621641042,1.0189347105,-3.1305251122,-0.0073968819,-0.0002411018
-0.0050223675,-0.0621641042,1.0189347105,-3.1305251122,-0.0073968819,-0.0002411018
-0.0053889224,-0.0622493170,1.0169338480,3.1314291954,0.0045539979,0.0013875352
-0.0053889224,-0.0622493170,1.0169338480,3.1314291954,0.0045539979,0.0013875352
-0.0050223675,-0.0621641042,1.0189347105,-3.1305251122,-0.0073968819,-0.0002411018
-0.0050223675,-0.0621641042,1.0189347105,-3.1305251122,-0.0073968819,-0.0002411018
-0.0050223675,-0.0621641042,1.0189347105,-3.1305251122,-0.0073968819,-0.0002411018
-0.0050223675,-0.0621641042,1.0189347105,-3.1305251122,-0.0073968819,-0.0002411018
-0.0050223675,-0.0621641042,1.0189347105,-3.1305251122,-0.0073968819,-0.0002411018
-0.0050223675,-0.0621641042,1.0189347105,-3.1305251122,-0.0073968819,-0.0002411018
