distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0121804577,-0.0713199905,1.0181290592,-3.0982210636,-0.1606661379,0.0025471163
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0121804577,-0.0713199905,1.0181290592,-3.0982210636,-0.1606661379,0.0025471163
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0121804577,-0.0713199905,1.0181290592,-3.0982210636,-0.1606661379,0.0025471163
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0119895343,-0.0713102487,1.0222835145,-3.0154511929,-0.0951309353,-0.0061274893
0.0119895343,-0.0713102487,1.0222835145,-3.0154511929,-0.0951309353,-0.0061274893
0.0115269954,-0.0717097745,1.0306703002,-2.9625339508,0.0527599826,0.0177341625
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0119895343,-0.0713102487,1.0222835145,-3.0154511929,-0.0951309353,-0.0061274893
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0116799049,-0.0710279049,1.0268032299,-2.9864647388,-0.1347547472,-0.0040203715
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0106079430,-0.0705343435,1.0244355426,-3.0282375813,0.1491729617,0.0292512663
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0119895343,-0.0713102487,1.0222835145,-3.0154511929,-0.0951309353,-0.0061274893
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0121804577,-0.0713199905,1.0181290592,-3.0982210636,-0.1606661379,0.0025471163
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0121804577,-0.0713199905,1.0181290592,-3.0982210636,-0.1606661379,0.0025471163
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0121804577,-0.0713199905,1.0181290592,-3.0982210636,-0.1606661379,0.0025471163
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0121804577,-0.0713199905,1.0181290592,-3.0982210636,-0.1606661379,0.0025471163
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0119895343,-0.0713102487,1.0222835145,-3.0154511929,-0.0951309353,-0.0061274893
0.0119895343,-0.0713102487,1.0222835145,-3.0154511929,-0.0951309353,-0.0061274893
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0119895343,-0.0713102487,1.0222835145,-3.0154511929,-0.0951309353,-0.0061274893
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0119895343,-0.0713102487,1.0222835145,-3.0154511929,-0.0951309353,-0.0061274893
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0106079430,-0.0705343435,1.0244355426,-3.0282375813,0.1491729617,0.0292512663
0.0119895343,-0.0713102487,1.0222835145,-3.0154511929,-0.0951309353,-0.0061274893
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0118062609,-0.0715439669,1.0137594424,-3.1086347103,-0.2051126808,-0.0068396870
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0121804577,-0.0713199905,1.0181290592,-3.0982210636,-0.1606661379,0.0025471163
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0115269954,-0.0717097745,1.0306703002,-2.9625339508,0.0527599826,0.0177341625
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0106079430,-0.0705343435,1.0244355426,-3.0282375813,0.1491729617,0.0292512663
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0119895343,-0.0713102487,1.0222835145,-3.0154511929,-0.0951309353,-0.0061274893
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0119895343,-0.0713102487,1.0222835145,-3.0154511929,-0.0951309353,-0.0061274893
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0121804577,-0.0713199905,1.0181290592,-3.0982210636,-0.1606661379,0.0025471163
0.0118062609,-0.0715439669,1.0137594424,-3.1086347103,-0.2051126808,-0.0068396870
0.0121804577,-0.0713199905,1.0181290592,-3.0982210636,-0.1606661379,0.0025471163
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0119895343,-0.0713102487,1.0222835145,-3.0154511929,-0.0951309353,-0.0061274893
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0121804577,-0.0713199905,1.0181290592,-3.0982210636,-0.1606661379,0.0025471163
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0106079430,-0.0705343435,1.0244355426,-3.0282375813,0.1491729617,0.0292512663
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0102267760,-0.0715589147,1.0139983032,-3.1081891060,0.2249059230,0.0075707696
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0119895343,-0.0713102487,1.0222835145,-3.0154511929,-0.0951309353,-0.0061274893
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0119895343,-0.0713102487,1.0222835145,-3.0154511929,-0.0951309353,-0.0061274893
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0121016485,-0.0724131770,1.0239690233,3.1342322826,-0.1204334050,0.0121697355
0.0121804577,-0.0713199905,1.0181290592,-3.0982210636,-0.1606661379,0.0025471163
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0121804577,-0.0713199905,1.0181290592,-3.0982210636,-0.1606661379,0.0025471163
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0119895343,-0.0713102487,1.0222835145,-3.0154511929,-0.0951309353,-0.0061274893
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0119895343,-0.0713102487,1.0222835145,-3.0154511929,-0.0951309353,-0.0061274893
0.0120020503,-0.0712413658,1.0273236400,-3.0356440544,-0.0843302533,0.0000034157
0.0121804577,-0.0713199905,1.0181290592,-3.0982210636,-0.1606661379,0.0025471163
