distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0070670166,-0.0385270614,1.0199621684,-3.0998911858,-0.5086273551,-0.0040369867
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0077181310,-0.0397234900,1.0522585905,-3.0564835072,-0.4099315107,-0.0343902260
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0077181310,-0.0397234900,1.0522585905,-3.0564835072,-0.4099315107,-0.0343902260
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
-0.3605072543,-1.4459565014,3.5723052548,1.2900024652,0.0901674405,3.1060671806
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0066404128,-0.0386939053,1.0376129198,-3.0918207169,-0.4393944144,-0.0199208148
0.0063916993,-0.0396912332,1.0367393281,3.1372463703,0.4897446334,-0.0173662528
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0077181310,-0.0397234900,1.0522585905,-3.0564835072,-0.4099315107,-0.0343902260
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0070670166,-0.0385270614,1.0199621684,-3.0998911858,-0.5086273551,-0.0040369867
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0077181310,-0.0397234900,1.0522585905,-3.0564835072,-0.4099315107,-0.0343902260
0.0077181310,-0.0397234900,1.0522585905,-3.0564835072,-0.4099315107,-0.0343902260
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0076380397,-0.0387002755,1.0376320796,-3.1002366543,-0.4386425614,-0.0176746584
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0076380397,-0.0387002755,1.0376320796,-3.1002366543,-0.4386425614,-0.0176746584
0.0077181310,-0.0397234900,1.0522585905,-3.0564835072,-0.4099315107,-0.0343902260
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0077181310,-0.0397234900,1.0522585905,-3.0564835072,-0.4099315107,-0.0343902260
0.0066404128,-0.0386939053,1.0376129198,-3.0918207169,-0.4393944144,-0.0199208148
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0076380397,-0.0387002755,1.0376320796,-3.1002366543,-0.4386425614,-0.0176746584
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0076380397,-0.0387002755,1.0376320796,-3.1002366543,-0.4386425614,-0.0176746584
0.0065202095,-0.0397858000,1.0530781844,-3.0914607048,0.4600578845,0.0378855839
0.0063916993,-0.0396912332,1.0367393281,3.1372463703,0.4897446334,-0.0173662528
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
0.0071550524,-0.0386469310,1.0370194810,-3.0616486073,-0.4759677947,-0.0203627348
