distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0124565480,-0.0637320571,1.5869523346,-2.9480335712,0.3685600162,0.0686855689
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
0.0122320058,-0.0668330177,1.6414669298,3.1109771729,0.1284057051,0.0263416320
