distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0185394176,0.0996864967,2.0592422847,2.9464027882,1.1505219936,-0.1589416116
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0187184985,0.1015180064,2.0765475496,2.9199481010,1.1450753212,-0.1824478060
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0196762477,0.1014402166,2.0754964707,2.9130561352,1.1351718903,-0.1775009632
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0187184985,0.1015180064,2.0765475496,2.9199481010,1.1450753212,-0.1824478060
0.0196762477,0.1014402166,2.0754964707,2.9130561352,1.1351718903,-0.1775009632
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0187184985,0.1015180064,2.0765475496,2.9199481010,1.1450753212,-0.1824478060
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0196762477,0.1014402166,2.0754964707,2.9130561352,1.1351718903,-0.1775009632
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0196762477,0.1014402166,2.0754964707,2.9130561352,1.1351718903,-0.1775009632
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
0.0194894430,0.0996168637,2.0583359478,2.9392120838,1.1406360865,-0.1544901580
