distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0320331286,0.1550076929,2.7581184105,3.0658881664,-0.5328889489,0.0638493821
-0.0310692165,0.1441277730,2.5900558786,3.0249392986,-0.5641090274,0.0491629541
-0.0302618216,0.1443802489,2.6177144202,3.0249025822,-0.5238026381,0.0320554487
-0.0302618216,0.1443802489,2.6177144202,3.0249025822,-0.5238026381,0.0320554487
-0.0302618216,0.1443802489,2.6177144202,3.0249025822,-0.5238026381,0.0320554487
-0.0310692165,0.1441277730,2.5900558786,3.0249392986,-0.5641090274,0.0491629541
-0.0310692165,0.1441277730,2.5900558786,3.0249392986,-0.5641090274,0.0491629541
-0.0306664118,0.1549353056,2.7581151290,3.0417680740,-0.5580898523,0.0653629825
-0.0325666841,0.1557123182,2.7959219875,3.0358269215,-0.5052340627,0.0767744705
-0.0342336926,0.1439472180,2.5583227578,-3.1281919479,0.5583225489,-0.0053999498
-0.0329105392,0.1437530083,2.5533709519,-3.1051862240,0.5392215848,-0.0052537718
-0.0310692165,0.1441277730,2.5900558786,3.0249392986,-0.5641090274,0.0491629541
-0.0310692165,0.1441277730,2.5900558786,3.0249392986,-0.5641090274,0.0491629541
-0.0329105392,0.1437530083,2.5533709519,-3.1051862240,0.5392215848,-0.0052537718
-0.0310692165,0.1441277730,2.5900558786,3.0249392986,-0.5641090274,0.0491629541
-0.0329105392,0.1437530083,2.5533709519,-3.1051862240,0.5392215848,-0.0052537718
-0.0302618216,0.1443802489,2.6177144202,3.0249025822,-0.5238026381,0.0320554487
-0.0325666841,0.1557123182,2.7959219875,3.0358269215,-0.5052340627,0.0767744705
-0.0310692165,0.1441277730,2.5900558786,3.0249392986,-0.5641090274,0.0491629541
-0.0285797838,0.1441010046,2.5897408462,3.0201516151,-0.5627093315,0.0508686751
-0.0338292462,0.1431403833,2.5216130271,-3.1069474220,0.5814466476,0.0069104051
-0.0310692165,0.1441277730,2.5900558786,3.0249392986,-0.5641090274,0.0491629541
-0.0302618216,0.1443802489,2.6177144202,3.0249025822,-0.5238026381,0.0320554487
-0.0302618216,0.1443802489,2.6177144202,3.0249025822,-0.5238026381,0.0320554487
-0.0302618216,0.1443802489,2.6177144202,3.0249025822,-0.5238026381,0.0320554487
-0.0325210462,0.1429052928,2.5160126268,-3.0847620964,0.5638338923,0.0068720304
-0.0302618216,0.1443802489,2.6177144202,3.0249025822,-0.5238026381,0.0320554487
-0.0306664118,0.1549353056,2.7581151290,3.0417680740,-0.5580898523,0.0653629825
-0.0310692165,0.1441277730,2.5900558786,3.0249392986,-0.5641090274,0.0491629541
-0.0302618216,0.1443802489,2.6177144202,3.0249025822,-0.5238026381,0.0320554487
-0.0330777334,0.1440478915,2.5616672645,3.1285419464,0.5791548491,-0.0074460506
-0.0326960252,0.1432910494,2.5257711978,-3.1323258877,0.6008613706,0.0051356629
-0.0306664118,0.1549353056,2.7581151290,3.0417680740,-0.5580898523,0.0653629825
-0.0310692165,0.1441277730,2.5900558786,3.0249392986,-0.5641090274,0.0491629541
-0.0302618216,0.1443802489,2.6177144202,3.0249025822,-0.5238026381,0.0320554487
-0.0320331286,0.1550076929,2.7581184105,3.0658881664,-0.5328889489,0.0638493821
-0.0338292462,0.1431403833,2.5216130271,-3.1069474220,0.5814466476,0.0069104051
-0.0310692165,0.1441277730,2.5900558786,3.0249392986,-0.5641090274,0.0491629541
-0.0325210462,0.1429052928,2.5160126268,-3.0847620964,0.5638338923,0.0068720304
-0.0310692165,0.1441277730,2.5900558786,3.0249392986,-0.5641090274,0.0491629541
-0.0310692165,0.1441277730,2.5900558786,3.0249392986,-0.5641090274,0.0491629541
-0.0325666841,0.1557123182,2.7959219875,3.0358269215,-0.5052340627,0.0767744705
-0.0302618216,0.1443802489,2.6177144202,3.0249025822,-0.5238026381,0.0320554487
-0.0310692165,0.1441277730,2.5900558786,3.0249392986,-0.5641090274,0.0491629541
-0.0302618216,0.1443802489,2.6177144202,3.0249025822,-0.5238026381,0.0320554487
-0.0302618216,0.1443802489,2.6177144202,3.0249025822,-0.5238026381,0.0320554487
-0.0320331286,0.1550076929,2.7581184105,3.0658881664,-0.5328889489,0.0638493821
-0.0320331286,0.1550076929,2.7581184105,3.0658881664,-0.5328889489,0.0638493821
