distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0002231311,-0.0906049935,3.4074582862,-3.0550580025,-0.3973579407,0.0152034620
-0.0004477880,-0.0950898170,3.5693613243,3.0717518330,0.2617584169,0.0332270488
0.0002231311,-0.0906049935,3.4074582862,-3.0550580025,-0.3973579407,0.0152034620
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0002231311,-0.0906049935,3.4074582862,-3.0550580025,-0.3973579407,0.0152034620
-0.0004477880,-0.0950898170,3.5693613243,3.0717518330,0.2617584169,0.0332270488
0.0002231311,-0.0906049935,3.4074582862,-3.0550580025,-0.3973579407,0.0152034620
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
-0.0004477880,-0.0950898170,3.5693613243,3.0717518330,0.2617584169,0.0332270488
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.8715867676,-0.5337891118,3.4803065584,-1.5810517073,-0.2732371688,1.4836971760
0.0002231311,-0.0906049935,3.4074582862,-3.0550580025,-0.3973579407,0.0152034620
0.0001457050,-0.0947190638,3.5015124259,-3.1226553917,-0.3194578886,0.0438442715
0.0002231311,-0.0906049935,3.4074582862,-3.0550580025,-0.3973579407,0.0152034620
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0002231311,-0.0906049935,3.4074582862,-3.0550580025,-0.3973579407,0.0152034620
0.0002231311,-0.0906049935,3.4074582862,-3.0550580025,-0.3973579407,0.0152034620
-0.0014625792,-0.0911234877,3.4866444310,-3.0035979748,-0.2461110055,-0.0077225552
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0002231311,-0.0906049935,3.4074582862,-3.0550580025,-0.3973579407,0.0152034620
0.0002231311,-0.0906049935,3.4074582862,-3.0550580025,-0.3973579407,0.0152034620
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0002231311,-0.0906049935,3.4074582862,-3.0550580025,-0.3973579407,0.0152034620
-0.0004477880,-0.0950898170,3.5693613243,3.0717518330,0.2617584169,0.0332270488
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0002231311,-0.0906049935,3.4074582862,-3.0550580025,-0.3973579407,0.0152034620
-0.0004477880,-0.0950898170,3.5693613243,3.0717518330,0.2617584169,0.0332270488
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0002231311,-0.0906049935,3.4074582862,-3.0550580025,-0.3973579407,0.0152034620
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0002231311,-0.0906049935,3.4074582862,-3.0550580025,-0.3973579407,0.0152034620
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0002231311,-0.0906049935,3.4074582862,-3.0550580025,-0.3973579407,0.0152034620
0.0002231311,-0.0906049935,3.4074582862,-3.0550580025,-0.3973579407,0.0152034620
0.0002231311,-0.0906049935,3.4074582862,-3.0550580025,-0.3973579407,0.0152034620
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
-0.0004477880,-0.0950898170,3.5693613243,3.0717518330,0.2617584169,0.0332270488
0.0002231311,-0.0906049935,3.4074582862,-3.0550580025,-0.3973579407,0.0152034620
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
0.0001700670,-0.0906528802,3.4698604034,-2.9702649117,-0.3486458957,-0.0092096766
