distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0116127865,-0.0791472331,2.2607661488,-3.0575766563,-0.5380625129,-0.0593037494
0.0100791336,-0.0770598270,2.2563942469,-3.1402344704,0.5564268827,-0.0157856178
0.0100791336,-0.0770598270,2.2563942469,-3.1402344704,0.5564268827,-0.0157856178
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0100791336,-0.0770598270,2.2563942469,-3.1402344704,0.5564268827,-0.0157856178
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0100791336,-0.0770598270,2.2563942469,-3.1402344704,0.5564268827,-0.0157856178
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0116127865,-0.0791472331,2.2607661488,-3.0575766563,-0.5380625129,-0.0593037494
0.0089326447,-0.0769301109,2.2234678579,-3.1365346909,0.5481566191,0.0025665828
0.0100791336,-0.0770598270,2.2563942469,-3.1402344704,0.5564268827,-0.0157856178
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0100791336,-0.0770598270,2.2563942469,-3.1402344704,0.5564268827,-0.0157856178
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0100791336,-0.0770598270,2.2563942469,-3.1402344704,0.5564268827,-0.0157856178
0.0100791336,-0.0770598270,2.2563942469,-3.1402344704,0.5564268827,-0.0157856178
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0100791336,-0.0770598270,2.2563942469,-3.1402344704,0.5564268827,-0.0157856178
0.0100791336,-0.0770598270,2.2563942469,-3.1402344704,0.5564268827,-0.0157856178
0.0100791336,-0.0770598270,2.2563942469,-3.1402344704,0.5564268827,-0.0157856178
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0116127865,-0.0791472331,2.2607661488,-3.0575766563,-0.5380625129,-0.0593037494
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0116127865,-0.0791472331,2.2607661488,-3.0575766563,-0.5380625129,-0.0593037494
0.0100791336,-0.0770598270,2.2563942469,-3.1402344704,0.5564268827,-0.0157856178
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0100791336,-0.0770598270,2.2563942469,-3.1402344704,0.5564268827,-0.0157856178
0.0080848537,-0.0770562447,2.2561598793,3.1383507252,0.5555310845,-0.0174706690
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0100791336,-0.0770598270,2.2563942469,-3.1402344704,0.5564268827,-0.0157856178
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
0.0098979331,-0.0769140670,2.2243869756,-3.1034781933,0.5777549744,0.0044395691
