distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0041791957,-0.0447509953,3.4617189025,3.0978767872,-1.0289876461,0.0374057330
0.0041791957,-0.0447509953,3.4617189025,3.0978767872,-1.0289876461,0.0374057330
0.0041422033,-0.0425524379,3.4090249847,3.1319601536,-1.0387867689,0.0082491273
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0041791957,-0.0447509953,3.4617189025,3.0978767872,-1.0289876461,0.0374057330
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0041422033,-0.0425524379,3.4090249847,3.1319601536,-1.0387867689,0.0082491273
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0042214949,-0.0439280554,3.5195653631,3.1306409836,-1.0190286636,0.0092681525
0.0042214949,-0.0439280554,3.5195653631,3.1306409836,-1.0190286636,0.0092681525
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0041791957,-0.0447509953,3.4617189025,3.0978767872,-1.0289876461,0.0374057330
0.0041791957,-0.0447509953,3.4617189025,3.0978767872,-1.0289876461,0.0374057330
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0041422033,-0.0425524379,3.4090249847,3.1319601536,-1.0387867689,0.0082491273
0.0041791957,-0.0447509953,3.4617189025,3.0978767872,-1.0289876461,0.0374057330
0.0041422033,-0.0425524379,3.4090249847,3.1319601536,-1.0387867689,0.0082491273
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0041422033,-0.0425524379,3.4090249847,3.1319601536,-1.0387867689,0.0082491273
0.0041422033,-0.0425524379,3.4090249847,3.1319601536,-1.0387867689,0.0082491273
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0041823555,-0.0416939384,3.4641031473,-3.1184239388,-1.0288869143,-0.0199053716
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0041422033,-0.0425524379,3.4090249847,3.1319601536,-1.0387867689,0.0082491273
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0041791957,-0.0447509953,3.4617189025,3.0978767872,-1.0289876461,0.0374057330
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0041791957,-0.0447509953,3.4617189025,3.0978767872,-1.0289876461,0.0374057330
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0041422033,-0.0425524379,3.4090249847,3.1319601536,-1.0387867689,0.0082491273
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0041422033,-0.0425524379,3.4090249847,3.1319601536,-1.0387867689,0.0082491273
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0041791957,-0.0447509953,3.4617189025,3.0978767872,-1.0289876461,0.0374057330
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0042214949,-0.0439280554,3.5195653631,3.1306409836,-1.0190286636,0.0092681525
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026747972,-0.0417149434,3.4633947905,-3.1366140842,-1.0117157698,-0.0196440127
0.0026876433,-0.0439419151,3.5181827495,3.1126563549,-1.0015884638,0.0087178182
