distance x [m],distance y [m],distance z [m],x anlge [rad],y angle [rad],z angle [rad]
-0.0561037321,-0.2291696030,1.5748364676,2.2507495880,0.5126373172,-0.5375385284
-0.0561037321,-0.2291696030,1.5748364676,2.2507495880,0.5126373172,-0.5375385284
-0.0561037321,-0.2291696030,1.5748364676,2.2507495880,0.5126373172,-0.5375385284
-0.0558024610,-0.2299554743,1.5776006886,2.2537584305,0.5201616883,-0.5350202322
-0.0553991096,-0.2288701134,1.5648228086,2.2544343472,0.5282514095,-0.5407015085
-0.0566894248,-0.2299139922,1.5800398864,2.2541291714,0.5126471519,-0.5400571823
-0.0563880119,-0.2307032731,1.5828200261,2.2571341991,0.5202188492,-0.5375438929
-0.0553991096,-0.2288701134,1.5648228086,2.2544343472,0.5282514095,-0.5407015085
-0.0563880119,-0.2307032731,1.5828200261,2.2571341991,0.5202188492,-0.5375438929
-0.0561037321,-0.2291696030,1.5748364676,2.2507495880,0.5126373172,-0.5375385284
-0.0556005914,-0.2294132615,1.5712035747,2.2541103363,0.5242204070,-0.5378686190
-0.0561037321,-0.2291696030,1.5748364676,2.2507495880,0.5126373172,-0.5375385284
-0.0553991096,-0.2288701134,1.5648228086,2.2544343472,0.5282514095,-0.5407015085
-0.0553580831,-0.2300174955,1.5754330382,2.2636625767,0.5343525410,-0.5311073661
-0.0548964930,-0.2244146016,1.5368560662,2.2620944977,0.5361131430,-0.5352303386
-0.0561037321,-0.2291696030,1.5748364676,2.2507495880,0.5126373172,-0.5375385284
-0.0566050616,-0.2321044827,1.5895987365,2.2579846382,0.5170609355,-0.5341044664
-0.0560837708,-0.2306893548,1.5855958480,2.2604248524,0.5283982754,-0.5350056291
-0.0561037321,-0.2291696030,1.5748364676,2.2507495880,0.5126373172,-0.5375385284
-0.0553991096,-0.2288701134,1.5648228086,2.2544343472,0.5282514095,-0.5407015085
-0.0558024610,-0.2299554743,1.5776006886,2.2537584305,0.5201616883,-0.5350202322
-0.0561037321,-0.2291696030,1.5748364676,2.2507495880,0.5126373172,-0.5375385284
-0.0557018962,-0.2281051764,1.5621880613,2.2515230179,0.5207606554,-0.5431744456
-0.0557018962,-0.2281051764,1.5621880613,2.2515230179,0.5207606554,-0.5431744456
-0.0559695389,-0.2284894021,1.5701928926,2.2576355934,0.5192698240,-0.5361998677
-0.0558024610,-0.2299554743,1.5776006886,2.2537584305,0.5201616883,-0.5350202322
