distance x [m],distance y [m],distance z [m],x anlge [rad],y angle [rad],z angle [rad]
-0.2707607685,0.2903374245,1.2705012395,-3.1236736774,0.8085582256,0.0280693639
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2720057275,0.2920974788,1.2779385940,-3.1167128086,0.8010125160,0.0308919065
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2724487812,0.2925191062,1.2770219178,-3.1171057224,0.8014702201,0.0306372847
-0.2706327978,0.2905306670,1.2714500909,-3.1281833649,0.8119943738,0.0273031741
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2713069976,0.2916107176,1.2746753550,-3.1219968796,0.8100990057,0.0327326506
-0.2730237128,0.2932051387,1.2812578784,-3.1162743568,0.7957812548,0.0280773807
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2707607685,0.2903374245,1.2705012395,-3.1236736774,0.8085582256,0.0280693639
-0.2730237128,0.2932051387,1.2812578784,-3.1162743568,0.7957812548,0.0280773807
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2724487812,0.2925191062,1.2770219178,-3.1171057224,0.8014702201,0.0306372847
-0.2767091642,0.2962333779,1.2974460521,-3.1151921749,0.8061533570,0.0389676727
-0.2718480899,0.2912099516,1.2756820807,-3.1269888878,0.8059206605,0.0252656769
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2707607685,0.2903374245,1.2705012395,-3.1236736774,0.8085582256,0.0280693639
-0.2707607685,0.2903374245,1.2705012395,-3.1236736774,0.8085582256,0.0280693639
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2720057275,0.2920974788,1.2779385940,-3.1167128086,0.8010125160,0.0308919065
-0.2707607685,0.2903374245,1.2705012395,-3.1236736774,0.8085582256,0.0280693639
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2707607685,0.2903374245,1.2705012395,-3.1236736774,0.8085582256,0.0280693639
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2713069976,0.2916107176,1.2746753550,-3.1219968796,0.8100990057,0.0327326506
-0.2707607685,0.2903374245,1.2705012395,-3.1236736774,0.8085582256,0.0280693639
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2713069976,0.2916107176,1.2746753550,-3.1219968796,0.8100990057,0.0327326506
-0.2713069976,0.2916107176,1.2746753550,-3.1219968796,0.8100990057,0.0327326506
-0.2707607685,0.2903374245,1.2705012395,-3.1236736774,0.8085582256,0.0280693639
-0.2707607685,0.2903374245,1.2705012395,-3.1236736774,0.8085582256,0.0280693639
-0.2707607685,0.2903374245,1.2705012395,-3.1236736774,0.8085582256,0.0280693639
-0.2706327978,0.2905306670,1.2714500909,-3.1281833649,0.8119943738,0.0273031741
-0.2707607685,0.2903374245,1.2705012395,-3.1236736774,0.8085582256,0.0280693639
-0.2724487812,0.2925191062,1.2770219178,-3.1171057224,0.8014702201,0.0306372847
-0.2713340972,0.2910194189,1.2747236851,-3.1229102612,0.8029268980,0.0255024377
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2730237128,0.2932051387,1.2812578784,-3.1162743568,0.7957812548,0.0280773807
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2707607685,0.2903374245,1.2705012395,-3.1236736774,0.8085582256,0.0280693639
-0.2724487812,0.2925191062,1.2770219178,-3.1171057224,0.8014702201,0.0306372847
-0.2720057275,0.2920974788,1.2779385940,-3.1167128086,0.8010125160,0.0308919065
-0.2720057275,0.2920974788,1.2779385940,-3.1167128086,0.8010125160,0.0308919065
-0.2713340972,0.2910194189,1.2747236851,-3.1229102612,0.8029268980,0.0255024377
-0.2724487812,0.2925191062,1.2770219178,-3.1171057224,0.8014702201,0.0306372847
-0.2724487812,0.2925191062,1.2770219178,-3.1171057224,0.8014702201,0.0306372847
-0.2707607685,0.2903374245,1.2705012395,-3.1236736774,0.8085582256,0.0280693639
-0.2713340972,0.2910194189,1.2747236851,-3.1229102612,0.8029268980,0.0255024377
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2717757386,0.2914399038,1.2738080187,-3.1232967377,0.8033841848,0.0252512414
-0.2706327978,0.2905306670,1.2714500909,-3.1281833649,0.8119943738,0.0273031741
-0.2720057275,0.2920974788,1.2779385940,-3.1167128086,0.8010125160,0.0308919065
-0.2717757386,0.2914399038,1.2738080187,-3.1232967377,0.8033841848,0.0252512414
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2707607685,0.2903374245,1.2705012395,-3.1236736774,0.8085582256,0.0280693639
-0.2720057275,0.2920974788,1.2779385940,-3.1167128086,0.8010125160,0.0308919065
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
-0.2714304675,0.2914117552,1.2737020978,-3.1174902916,0.8066564202,0.0334734321
