distance x [m],distance y [m],distance z [m],x anlge [rad],y angle [rad],z angle [rad]
-0.2919227261,-0.3648850558,1.6051365325,-2.1535639763,0.5122584701,0.6372431517
-0.2911673686,-0.3643257359,1.6008744239,-2.1605091095,0.5329975486,0.6332939863
-0.2920982158,-0.3655351075,1.6062092588,-2.1482775211,0.5087815523,0.6406149268
-0.2917683843,-0.3650739966,1.6042056430,-2.1591672897,0.5162801743,0.6338138580
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
-0.2913655533,-0.3647217038,1.6043763012,-2.1485486031,0.5167398453,0.6404206157
-0.2919519789,-0.3657341765,1.6053230681,-2.1538622379,0.5128065944,0.6371957660
-0.2917683843,-0.3650739966,1.6042056430,-2.1591672897,0.5162801743,0.6338138580
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
-0.2910174724,-0.3642373001,1.6022691926,-2.1594386101,0.5242332220,0.6335951686
-0.2919227261,-0.3648850558,1.6051365325,-2.1535639763,0.5122584701,0.6372431517
-0.2919227261,-0.3648850558,1.6051365325,-2.1535639763,0.5122584701,0.6372431517
-0.2917683843,-0.3650739966,1.6042056430,-2.1591672897,0.5162801743,0.6338138580
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
-0.2910174724,-0.3642373001,1.6022691926,-2.1594386101,0.5242332220,0.6335951686
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
-0.2911826223,-0.3640626032,1.6032609625,-2.1538376808,0.5202134252,0.6370345950
-0.2917683843,-0.3650739966,1.6042056430,-2.1591672897,0.5162801743,0.6338138580
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
-0.2917683843,-0.3650739966,1.6042056430,-2.1591672897,0.5162801743,0.6338138580
-0.2920982158,-0.3655351075,1.6062092588,-2.1482775211,0.5087815523,0.6406149268
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
-0.2919227261,-0.3648850558,1.6051365325,-2.1535639763,0.5122584701,0.6372431517
-0.2917683843,-0.3650739966,1.6042056430,-2.1591672897,0.5162801743,0.6338138580
-0.2910174724,-0.3642373001,1.6022691926,-2.1594386101,0.5242332220,0.6335951686
-0.2919227261,-0.3648850558,1.6051365325,-2.1535639763,0.5122584701,0.6372431517
-0.2919227261,-0.3648850558,1.6051365325,-2.1535639763,0.5122584701,0.6372431517
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
-0.2919227261,-0.3648850558,1.6051365325,-2.1535639763,0.5122584701,0.6372431517
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
-0.2919227261,-0.3648850558,1.6051365325,-2.1535639763,0.5122584701,0.6372431517
-0.2919227261,-0.3648850558,1.6051365325,-2.1535639763,0.5122584701,0.6372431517
-0.2921299456,-0.3658574490,1.6040785895,-2.1549651623,0.5215982199,0.6369132400
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
-0.2921299456,-0.3658574490,1.6040785895,-2.1549651623,0.5215982199,0.6369132400
-0.2911826223,-0.3640626032,1.6032609625,-2.1538376808,0.5202134252,0.6370345950
-0.2917683843,-0.3650739966,1.6042056430,-2.1591672897,0.5162801743,0.6338138580
-0.2919227261,-0.3648850558,1.6051365325,-2.1535639763,0.5122584701,0.6372431517
-0.2913700770,-0.3650093270,1.6020972618,-2.1551983356,0.5295271873,0.6367054582
-0.2912084515,-0.3649064562,1.6034289690,-2.1541311741,0.5207633376,0.6369913816
-0.2911826223,-0.3640626032,1.6032609625,-2.1538376808,0.5202134252,0.6370345950
-0.2911826223,-0.3640626032,1.6032609625,-2.1538376808,0.5202134252,0.6370345950
-0.2912084515,-0.3649064562,1.6034289690,-2.1541311741,0.5207633376,0.6369913816
-0.2919227261,-0.3648850558,1.6051365325,-2.1535639763,0.5122584701,0.6372431517
-0.2917683843,-0.3650739966,1.6042056430,-2.1591672897,0.5162801743,0.6338138580
-0.2919227261,-0.3648850558,1.6051365325,-2.1535639763,0.5122584701,0.6372431517
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
-0.2910174724,-0.3642373001,1.6022691926,-2.1594386101,0.5242332220,0.6335951686
-0.2911673686,-0.3643257359,1.6008744239,-2.1605091095,0.5329975486,0.6332939863
-0.2919227261,-0.3648850558,1.6051365325,-2.1535639763,0.5122584701,0.6372431517
-0.2919227261,-0.3648850558,1.6051365325,-2.1535639763,0.5122584701,0.6372431517
-0.2917683843,-0.3650739966,1.6042056430,-2.1591672897,0.5162801743,0.6338138580
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
-0.2919227261,-0.3648850558,1.6051365325,-2.1535639763,0.5122584701,0.6372431517
-0.2917683843,-0.3650739966,1.6042056430,-2.1591672897,0.5162801743,0.6338138580
-0.2917683843,-0.3650739966,1.6042056430,-2.1591672897,0.5162801743,0.6338138580
-0.2911826223,-0.3640626032,1.6032609625,-2.1538376808,0.5202134252,0.6370345950
-0.2919519789,-0.3657341765,1.6053230681,-2.1538622379,0.5128065944,0.6371957660
-0.2917683843,-0.3650739966,1.6042056430,-2.1591672897,0.5162801743,0.6338138580
-0.2911673686,-0.3643257359,1.6008744239,-2.1605091095,0.5329975486,0.6332939863
-0.2911826223,-0.3640626032,1.6032609625,-2.1538376808,0.5202134252,0.6370345950
-0.2910174724,-0.3642373001,1.6022691926,-2.1594386101,0.5242332220,0.6335951686
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
-0.2917683843,-0.3650739966,1.6042056430,-2.1591672897,0.5162801743,0.6338138580
-0.2911826223,-0.3640626032,1.6032609625,-2.1538376808,0.5202134252,0.6370345950
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
-0.2919519789,-0.3657341765,1.6053230681,-2.1538622379,0.5128065944,0.6371957660
-0.2911673686,-0.3643257359,1.6008744239,-2.1605091095,0.5329975486,0.6332939863
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
-0.2919227261,-0.3648850558,1.6051365325,-2.1535639763,0.5122584701,0.6372431517
-0.2910174724,-0.3642373001,1.6022691926,-2.1594386101,0.5242332220,0.6335951686
-0.2921299456,-0.3658574490,1.6040785895,-2.1549651623,0.5215982199,0.6369132400
-0.2911826223,-0.3640626032,1.6032609625,-2.1538376808,0.5202134252,0.6370345950
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
-0.2919344783,-0.3651826321,1.6028973262,-2.1602733135,0.5250730515,0.6335162520
