distance x [m],distance y [m],distance z [m],x anlge [rad],y angle [rad],z angle [rad]
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3870809643,-0.4868877382,1.8063567120,2.4230351448,-0.0098737171,0.0208739564
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3889413638,-0.4898213052,1.8189876407,2.4326574802,-0.0174857806,0.0235209856
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3885994085,-0.4893292627,1.8154503644,2.4371430874,-0.0083635878,0.0213947259
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3889413638,-0.4898213052,1.8189876407,2.4326574802,-0.0174857806,0.0235209856
0.3893985596,-0.4908888081,1.8212805938,2.4284803867,-0.0128298933,0.0202015284
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3889413638,-0.4898213052,1.8189876407,2.4326574802,-0.0174857806,0.0235209856
0.3897621129,-0.4918683789,1.8249200035,2.4400544167,-0.0211625285,0.0180981532
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3889413638,-0.4898213052,1.8189876407,2.4326574802,-0.0174857806,0.0235209856
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3889413638,-0.4898213052,1.8189876407,2.4326574802,-0.0174857806,0.0235209856
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3878914184,-0.4883937568,1.8119545165,2.4358482361,-0.0162137151,0.0282539725
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3870809643,-0.4868877382,1.8063567120,2.4230351448,-0.0098737171,0.0208739564
0.3870809643,-0.4868877382,1.8063567120,2.4230351448,-0.0098737171,0.0208739564
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3889413638,-0.4898213052,1.8189876407,2.4326574802,-0.0174857806,0.0235209856
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3866315516,-0.4867501689,1.8041463741,2.4276394844,-0.0148693053,0.0239939690
0.3870809643,-0.4868877382,1.8063567120,2.4230351448,-0.0098737171,0.0208739564
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3876608832,-0.4881506980,1.8110662067,2.4244487286,-0.0161655229,0.0192539934
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3889413638,-0.4898213052,1.8189876407,2.4326574802,-0.0174857806,0.0235209856
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
0.3883578966,-0.4885517856,1.8142485217,2.4312427044,-0.0111203687,0.0251446906
