distance x [m],distance y [m],distance z [m],x anlge [rad],y angle [rad],z angle [rad]
0.0297709791,0.1266013691,1.6837242466,-2.1869168282,-0.4655492604,-0.6058425307
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0308039486,0.1232861336,1.6683196496,-2.1818449497,-0.4867508709,-0.6110373139
0.0308468700,0.1238496681,1.6701561403,-2.1882357597,-0.4894166291,-0.6069435477
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0303023502,0.1242445603,1.6638753651,-2.1781227589,-0.4771871269,-0.6127905846
0.0298524595,0.1241109360,1.6618253115,-2.1812710762,-0.4712955654,-0.6104533672
0.0303067687,0.1234200799,1.6641789687,-2.1784186363,-0.4776923060,-0.6127673388
0.0299399639,0.1240579782,1.6672844522,-2.1809344292,-0.4860493541,-0.6111028194
0.0303067687,0.1234200799,1.6641789687,-2.1784186363,-0.4776923060,-0.6127673388
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0306169243,0.1247583523,1.6825624336,-2.1866436005,-0.4845277369,-0.6101852059
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0298524595,0.1241109360,1.6618253115,-2.1812710762,-0.4712955654,-0.6104533672
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0300767695,0.1247123377,1.6759971895,-2.1809902191,-0.4726912975,-0.6123132706
0.0303067687,0.1234200799,1.6641789687,-2.1784186363,-0.4776923060,-0.6127673388
0.0301589495,0.1254632180,1.6802707131,-2.1895670891,-0.4780247211,-0.6078485847
0.0301156272,0.1248889894,1.6783381650,-2.1831562519,-0.4753773510,-0.6119359136
0.0294444896,0.1241865534,1.6631041886,-2.1775014400,-0.4770082831,-0.6128310561
0.0298524595,0.1241109360,1.6618253115,-2.1812710762,-0.4712955654,-0.6104533672
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0298089880,0.1235403527,1.6598839310,-2.1749825478,-0.4686975777,-0.6144717932
0.0299399639,0.1240579782,1.6672844522,-2.1809344292,-0.4860493541,-0.6111028194
0.0309909451,0.1245147116,1.6790432303,-2.1883170605,-0.4760121107,-0.6081681848
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0308468700,0.1238496681,1.6701561403,-2.1882357597,-0.4894166291,-0.6069435477
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0303067687,0.1234200799,1.6641789687,-2.1784186363,-0.4776923060,-0.6127673388
0.0303067687,0.1234200799,1.6641789687,-2.1784186363,-0.4776923060,-0.6127673388
0.0301589495,0.1254632180,1.6802707131,-2.1895670891,-0.4780247211,-0.6078485847
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0298524595,0.1241109360,1.6618253115,-2.1812710762,-0.4712955654,-0.6104533672
0.0308039486,0.1232861336,1.6683196496,-2.1818449497,-0.4867508709,-0.6110373139
0.0298524595,0.1241109360,1.6618253115,-2.1812710762,-0.4712955654,-0.6104533672
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0294444896,0.1241865534,1.6631041886,-2.1775014400,-0.4770082831,-0.6128310561
0.0302762852,0.1264868939,1.6881416806,-2.1905369759,-0.4746955931,-0.6040490866
0.0301589495,0.1254632180,1.6802707131,-2.1895670891,-0.4780247211,-0.6078485847
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0299399639,0.1240579782,1.6672844522,-2.1809344292,-0.4860493541,-0.6111028194
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0301589495,0.1254632180,1.6802707131,-2.1895670891,-0.4780247211,-0.6078485847
0.0298089880,0.1235403527,1.6598839310,-2.1749825478,-0.4686975777,-0.6144717932
0.0303067687,0.1234200799,1.6641789687,-2.1784186363,-0.4776923060,-0.6127673388
0.0299399639,0.1240579782,1.6672844522,-2.1809344292,-0.4860493541,-0.6111028194
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0299399639,0.1240579782,1.6672844522,-2.1809344292,-0.4860493541,-0.6111028194
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0298089880,0.1235403527,1.6598839310,-2.1749825478,-0.4686975777,-0.6144717932
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0298524595,0.1241109360,1.6618253115,-2.1812710762,-0.4712955654,-0.6104533672
0.0303067687,0.1234200799,1.6641789687,-2.1784186363,-0.4776923060,-0.6127673388
0.0298524595,0.1241109360,1.6618253115,-2.1812710762,-0.4712955654,-0.6104533672
0.0302325502,0.1259078974,1.6861800972,-2.1840867996,-0.4720650911,-0.6081545949
0.0303067687,0.1234200799,1.6641789687,-2.1784186363,-0.4776923060,-0.6127673388
0.0302325502,0.1259078974,1.6861800972,-2.1840867996,-0.4720650911,-0.6081545949
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0302762852,0.1264868939,1.6881416806,-2.1905369759,-0.4746955931,-0.6040490866
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0302586308,0.1236751921,1.6619578668,-2.1718327999,-0.4745534062,-0.6168233156
0.0308468700,0.1238496681,1.6701561403,-2.1882357597,-0.4894166291,-0.6069435477
0.0302325502,0.1259078974,1.6861800972,-2.1840867996,-0.4720650911,-0.6081545949
0.0298524595,0.1241109360,1.6618253115,-2.1812710762,-0.4712955654,-0.6104533672
0.0308468700,0.1238496681,1.6701561403,-2.1882357597,-0.4894166291,-0.6069435477
0.0299399639,0.1240579782,1.6672844522,-2.1809344292,-0.4860493541,-0.6111028194
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
0.0303499988,0.1239872293,1.6660690552,-2.1847584248,-0.4803243279,-0.6087114811
