distance x [m],distance y [m],distance z [m],x anlge [rad],y angle [rad],z angle [rad]
0.0341103397,-0.1532171117,2.9384223075,2.3036444187,-0.5239244699,0.5648359656
0.0346167382,-0.1513005696,2.9164055047,2.2942099571,-0.5414803624,0.5758786201
0.0346167382,-0.1513005696,2.9164055047,2.2942099571,-0.5414803624,0.5758786201
0.0338434305,-0.1511493788,2.9131578873,2.3006384373,-0.5304407477,0.5717847943
0.0335091245,-0.1546709405,2.9521404572,2.2984604836,-0.5206357837,0.5771412849
0.0339395883,-0.1523109047,2.9218651002,2.2994687557,-0.5576941371,0.5725489855
0.0331703317,-0.1521775340,2.9189849086,2.3060748577,-0.5466733575,0.5684307814
0.0338980359,-0.1520959976,2.9171001444,2.3132870197,-0.5357314348,0.5642026067
0.0320792161,-0.1505374951,2.9207407555,-2.1937441826,0.5088193417,0.6256330013
0.0346167382,-0.1513005696,2.9164055047,2.2942099571,-0.5414803624,0.5758786201
0.0353948107,-0.1541026885,2.9851470876,2.3248443604,-0.5217353106,0.5556702018
0.0328389229,-0.1462145415,2.8177521909,2.3150904179,-0.5618893504,0.5602673292
0.0317770023,-0.1525201936,2.9587665937,-2.1911535263,0.4965008795,0.6297956109
0.0341103397,-0.1532171117,2.9384223075,2.3036444187,-0.5239244699,0.5648359656
0.0308054663,-0.1434955254,2.8136777904,-2.1975607872,0.5092351437,0.6206216812
0.0324864487,-0.1531723153,2.9241137052,2.3114590645,-0.5629702210,0.5649930835
0.0338434305,-0.1511493788,2.9131578873,2.3006384373,-0.5304407477,0.5717847943
0.0330927335,-0.1481925018,2.8417631934,2.3184990883,-0.5558584332,0.5533429980
0.0334349063,-0.1542704032,2.9445804077,2.3093287945,-0.5402898192,0.5613767505
0.0338425158,-0.1526367701,2.9130850935,2.3002874851,-0.5296980143,0.5717266798
0.0331179015,-0.1527294713,2.9151803664,2.2931306362,-0.5405507684,0.5759880543
0.0356806890,-0.1562439283,3.0115974427,2.3279814720,-0.5147190690,0.5485255122
0.0338434305,-0.1511493788,2.9131578873,2.3006384373,-0.5304407477,0.5717847943
0.0348929909,-0.1533793791,2.9418704978,2.2973148823,-0.5351476669,0.5688871741
0.0334349063,-0.1542704032,2.9445804077,2.3093287945,-0.5402898192,0.5613767505
0.0308054663,-0.1434955254,2.8136777904,-2.1975607872,0.5092351437,0.6206216812
0.0335675758,-0.1541398126,2.9565341487,2.3115820885,-0.5267413855,0.5695887804
0.0346167382,-0.1513005696,2.9164055047,2.2942099571,-0.5414803624,0.5758786201
0.0337546250,-0.1472310586,2.8368415119,2.3130335808,-0.5400427580,0.5568112731
0.0339395883,-0.1523109047,2.9218651002,2.2994687557,-0.5576941371,0.5725489855
0.0338980359,-0.1520959976,2.9171001444,2.3132870197,-0.5357314348,0.5642026067
0.0331703317,-0.1521775340,2.9189849086,2.3060748577,-0.5466733575,0.5684307814
0.0330927335,-0.1481925018,2.8417631934,2.3184990883,-0.5558584332,0.5533429980
0.0337546250,-0.1472310586,2.8368415119,2.3130335808,-0.5400427580,0.5568112731
0.0346167382,-0.1513005696,2.9164055047,2.2942099571,-0.5414803624,0.5758786201
0.0334349063,-0.1542704032,2.9445804077,2.3093287945,-0.5402898192,0.5613767505
0.0335225521,-0.1554138267,2.9526995172,2.3082721233,-0.5679104328,0.5619274974
0.0340499809,-0.1537396877,2.9339670420,2.2906401157,-0.5179663897,0.5723459125
0.0341103397,-0.1532171117,2.9384223075,2.3036444187,-0.5239244699,0.5648359656
0.0346167382,-0.1513005696,2.9164055047,2.2942099571,-0.5414803624,0.5758786201
0.0341103397,-0.1532171117,2.9384223075,2.3036444187,-0.5239244699,0.5648359656
0.0328389229,-0.1462145415,2.8177521909,2.3150904179,-0.5618893504,0.5602673292
0.0308054663,-0.1434955254,2.8136777904,-2.1975607872,0.5092351437,0.6206216812
0.0327482651,-0.1552889760,2.9500151626,2.3149619102,-0.5567265749,0.5578305721
0.0341103397,-0.1532171117,2.9384223075,2.3036444187,-0.5239244699,0.5648359656
0.0338434305,-0.1511493788,2.9131578873,2.3006384373,-0.5304407477,0.5717847943
0.0348929909,-0.1533793791,2.9418704978,2.2973148823,-0.5351476669,0.5688871741
0.0324864487,-0.1531723153,2.9241137052,2.3114590645,-0.5629702210,0.5649930835
0.0331703317,-0.1521775340,2.9189849086,2.3060748577,-0.5466733575,0.5684307814
0.0334349063,-0.1542704032,2.9445804077,2.3093287945,-0.5402898192,0.5613767505
0.0298704242,-0.1425906932,2.7956452816,-2.2003364563,0.5325689316,0.6264528632
0.0320792161,-0.1505374951,2.9207407555,-2.1937441826,0.5088193417,0.6256330013
0.0341103397,-0.1532171117,2.9384223075,2.3036444187,-0.5239244699,0.5648359656
0.0338980359,-0.1520959976,2.9171001444,2.3132870197,-0.5357314348,0.5642026067
0.0331703317,-0.1521775340,2.9189849086,2.3060748577,-0.5466733575,0.5684307814
0.0339395883,-0.1523109047,2.9218651002,2.2994687557,-0.5576941371,0.5725489855
0.0331703317,-0.1521775340,2.9189849086,2.3060748577,-0.5466733575,0.5684307814
0.0349483811,-0.1543329048,2.9457796487,2.3100943565,-0.5404843688,0.5611963272
0.0308054663,-0.1434955254,2.8136777904,-2.1975607872,0.5092351437,0.6206216812
0.0324864487,-0.1531723153,2.9241137052,2.3114590645,-0.5629702210,0.5649930835
0.0324864487,-0.1531723153,2.9241137052,2.3114590645,-0.5629702210,0.5649930835
0.0339395883,-0.1523109047,2.9218651002,2.2994687557,-0.5576941371,0.5725489855
0.0328389229,-0.1462145415,2.8177521909,2.3150904179,-0.5618893504,0.5602673292
0.0331703317,-0.1521775340,2.9189849086,2.3060748577,-0.5466733575,0.5684307814
0.0338434305,-0.1511493788,2.9131578873,2.3006384373,-0.5304407477,0.5717847943
0.0324864487,-0.1531723153,2.9241137052,2.3114590645,-0.5629702210,0.5649930835
0.0308054663,-0.1434955254,2.8136777904,-2.1975607872,0.5092351437,0.6206216812
0.0308054663,-0.1434955254,2.8136777904,-2.1975607872,0.5092351437,0.6206216812
0.0356184193,-0.1552421788,3.0070277904,2.3147482872,-0.5095113516,0.5563248396
0.0338434305,-0.1511493788,2.9131578873,2.3006384373,-0.5304407477,0.5717847943
0.0334349063,-0.1542704032,2.9445804077,2.3093287945,-0.5402898192,0.5613767505
0.0338434305,-0.1511493788,2.9131578873,2.3006384373,-0.5304407477,0.5717847943
0.0341103397,-0.1532171117,2.9384223075,2.3036444187,-0.5239244699,0.5648359656
0.0346167382,-0.1513005696,2.9164055047,2.2942099571,-0.5414803624,0.5758786201
0.0341103397,-0.1532171117,2.9384223075,2.3036444187,-0.5239244699,0.5648359656
0.0331703317,-0.1521775340,2.9189849086,2.3060748577,-0.5466733575,0.5684307814
0.0338434305,-0.1511493788,2.9131578873,2.3006384373,-0.5304407477,0.5717847943
0.0338434305,-0.1511493788,2.9131578873,2.3006384373,-0.5304407477,0.5717847943
0.0335675758,-0.1541398126,2.9565341487,2.3115820885,-0.5267413855,0.5695887804
0.0338434305,-0.1511493788,2.9131578873,2.3006384373,-0.5304407477,0.5717847943
0.0330927335,-0.1481925018,2.8417631934,2.3184990883,-0.5558584332,0.5533429980
0.0338434305,-0.1511493788,2.9131578873,2.3006384373,-0.5304407477,0.5717847943
0.0333813256,-0.1533163027,2.9406546805,2.2965612411,-0.5349535942,0.5690544248
0.0331184568,-0.1512395849,2.9152246961,2.2934718132,-0.5412864089,0.5760467649
0.0338434305,-0.1511493788,2.9131578873,2.3006384373,-0.5304407477,0.5717847943
0.0338434305,-0.1511493788,2.9131578873,2.3006384373,-0.5304407477,0.5717847943
0.0331184568,-0.1512395849,2.9152246961,2.2934718132,-0.5412864089,0.5760467649
0.0308054663,-0.1434955254,2.8136777904,-2.1975607872,0.5092351437,0.6206216812
0.0341103397,-0.1532171117,2.9384223075,2.3036444187,-0.5239244699,0.5648359656
0.0330927335,-0.1481925018,2.8417631934,2.3184990883,-0.5558584332,0.5533429980
0.0348929909,-0.1533793791,2.9418704978,2.2973148823,-0.5351476669,0.5688871741
0.0346167382,-0.1513005696,2.9164055047,2.2942099571,-0.5414803624,0.5758786201
0.0332930813,-0.1526778000,2.9293859925,2.3178238869,-0.5803107619,0.5613504052
