distance x [m],distance y [m],distance z [m],x anlge [rad],y angle [rad],z angle [rad]
0.3215435130,-0.5632356425,3.5016183548,-3.1051857471,-0.8128905296,0.0024096542
0.3215435130,-0.5632356425,3.5016183548,-3.1051857471,-0.8128905296,0.0024096542
0.3226300691,-0.5635673025,3.5038091621,-3.0958161354,-0.8008894920,0.0041839890
0.3215435130,-0.5632356425,3.5016183548,-3.1051857471,-0.8128905296,0.0024096542
0.3215435130,-0.5632356425,3.5016183548,-3.1051857471,-0.8128905296,0.0024096542
0.3215435130,-0.5632356425,3.5016183548,-3.1051857471,-0.8128905296,0.0024096542
0.3081612986,-0.5419198519,3.3641053457,-3.0662648678,-0.7896370292,-0.0371717848
0.3214427270,-0.5630589019,3.5004524018,-3.1084909439,-0.7904899120,0.0054024551
0.3081612986,-0.5419198519,3.3641053457,-3.0662648678,-0.7896370292,-0.0371717848
0.3215435130,-0.5632356425,3.5016183548,-3.1051857471,-0.8128905296,0.0024096542
0.3215435130,-0.5632356425,3.5016183548,-3.1051857471,-0.8128905296,0.0024096542
0.3215435130,-0.5632356425,3.5016183548,-3.1051857471,-0.8128905296,0.0024096542
0.3215435130,-0.5632356425,3.5016183548,-3.1051857471,-0.8128905296,0.0024096542
0.3215435130,-0.5632356425,3.5016183548,-3.1051857471,-0.8128905296,0.0024096542
0.3081612986,-0.5419198519,3.3641053457,-3.0662648678,-0.7896370292,-0.0371717848
0.3215435130,-0.5632356425,3.5016183548,-3.1051857471,-0.8128905296,0.0024096542
0.3215435130,-0.5632356425,3.5016183548,-3.1051857471,-0.8128905296,0.0024096542
0.3203227366,-0.5626647459,3.4978753676,-3.1177985668,-0.8026757240,0.0036058745
0.3169835504,-0.5576414812,3.4611941264,-3.1302666664,-0.8112326860,0.0130120693
0.3197812782,-0.5576872429,3.4726737517,-3.0954101086,-0.8303951025,-0.0149303442
0.3215435130,-0.5632356425,3.5016183548,-3.1051857471,-0.8128905296,0.0024096542
