distance x [m],distance y [m],distance z [m],x anlge [rad],y angle [rad],z angle [rad]
0.4673753105,-1.1096003092,3.5237275339,-2.2910413742,0.0559756942,0.0084347781
0.4634735261,-1.0981889253,3.4876660669,-2.2738747597,0.0433479473,0.0046133962
0.4630177715,-1.0961399776,3.4839195703,-2.2887814045,0.0309040919,-0.0080766249
0.4634735261,-1.0981889253,3.4876660669,-2.2738747597,0.0433479473,0.0046133962
0.4634735261,-1.0981889253,3.4876660669,-2.2738747597,0.0433479473,0.0046133962
0.4636878206,-1.0978721957,3.4893964199,-2.2902143002,0.0530410893,0.0164387412
0.4669913604,-1.1077095055,3.5205054234,-2.3069643974,0.0429563336,-0.0045461911
0.4634735261,-1.0981889253,3.4876660669,-2.2738747597,0.0433479473,0.0046133962
0.4672702486,-1.1075461988,3.5227376750,-2.3246266842,0.0532891229,0.0075505208
0.4634735261,-1.0981889253,3.4876660669,-2.2738747597,0.0433479473,0.0046133962
0.4672861826,-1.1040941385,3.5091135419,-2.3009569645,0.0122221420,-0.0141374413
0.4636878206,-1.0978721957,3.4893964199,-2.2902143002,0.0530410893,0.0164387412
0.4633302389,-1.0960556019,3.4863806652,-2.3059492111,0.0402651019,0.0036078724
0.4636878206,-1.0978721957,3.4893964199,-2.2902143002,0.0530410893,0.0164387412
0.4636878206,-1.0978721957,3.4893964199,-2.2902143002,0.0530410893,0.0164387412
0.4634735261,-1.0981889253,3.4876660669,-2.2738747597,0.0433479473,0.0046133962
0.4634735261,-1.0981889253,3.4876660669,-2.2738747597,0.0433479473,0.0046133962
0.4684742277,-1.1062112145,3.5185550976,-2.3212912083,0.0541439205,0.0078250477
0.4636878206,-1.0978721957,3.4893964199,-2.2902143002,0.0530410893,0.0164387412
0.4619735413,-1.0928726515,3.4763006860,-2.3001880646,0.0196670536,0.0318580531
0.4636878206,-1.0978721957,3.4893964199,-2.2902143002,0.0530410893,0.0164387412
0.4633302389,-1.0960556019,3.4863806652,-2.3059492111,0.0402651019,0.0036078724
0.4673753105,-1.1096003092,3.5237275339,-2.2910413742,0.0559756942,0.0084347781
0.4483009040,-1.0580381804,3.3606517202,-2.3075048923,0.0051974743,0.0099956552
0.4636878206,-1.0978721957,3.4893964199,-2.2902143002,0.0530410893,0.0164387412
0.4682108842,-1.1064133466,3.5164479031,-2.3038866520,0.0438270904,-0.0042760936
0.4636878206,-1.0978721957,3.4893964199,-2.2902143002,0.0530410893,0.0164387412
0.4636878206,-1.0978721957,3.4893964199,-2.2902143002,0.0530410893,0.0164387412
0.4636878206,-1.0978721957,3.4893964199,-2.2902143002,0.0530410893,0.0164387412
0.4634735261,-1.0981889253,3.4876660669,-2.2738747597,0.0433479473,0.0046133962
0.4636878206,-1.0978721957,3.4893964199,-2.2902143002,0.0530410893,0.0164387412
0.4634735261,-1.0981889253,3.4876660669,-2.2738747597,0.0433479473,0.0046133962
0.4634735261,-1.0981889253,3.4876660669,-2.2738747597,0.0433479473,0.0046133962
0.4634735261,-1.0981889253,3.4876660669,-2.2738747597,0.0433479473,0.0046133962
0.4675411664,-1.1091686063,3.5251153147,-2.3077387810,0.0666266456,0.0206704829
0.4634735261,-1.0981889253,3.4876660669,-2.2738747597,0.0433479473,0.0046133962
0.4634735261,-1.0981889253,3.4876660669,-2.2738747597,0.0433479473,0.0046133962
0.4633302389,-1.0960556019,3.4863806652,-2.3059492111,0.0402651019,0.0036078724
0.4634735261,-1.0981889253,3.4876660669,-2.2738747597,0.0433479473,0.0046133962
0.4720106798,-1.1184258292,3.5516602587,-2.3047709465,0.0376406722,0.0025243838
0.4634735261,-1.0981889253,3.4876660669,-2.2738747597,0.0433479473,0.0046133962
0.4636878206,-1.0978721957,3.4893964199,-2.2902143002,0.0530410893,0.0164387412
0.4682108842,-1.1064133466,3.5164479031,-2.3038866520,0.0438270904,-0.0042760936
0.4621082609,-1.0949826464,3.4775247518,-2.2683513165,0.0222109798,0.0326878689
0.4630177715,-1.0961399776,3.4839195703,-2.2887814045,0.0309040919,-0.0080766249
0.4621082609,-1.0949826464,3.4775247518,-2.2683513165,0.0222109798,0.0326878689
0.4664570064,-1.1013606716,3.5032493697,-2.2815549374,0.0059042335,0.0277505405
0.4648770616,-1.1024640043,3.4984394581,-2.2646276951,0.0642266721,0.0024458936
0.4650189703,-1.1019741239,3.4996317546,-2.2803068161,0.0739919096,0.0142765688
0.4664428303,-1.1031082156,3.5032480767,-2.2809474468,0.0044750981,0.0272046495
0.4609760283,-1.0893052980,3.4623126562,-2.2794051170,0.0492674112,-0.0020637074
0.4621082609,-1.0949826464,3.4775247518,-2.2683513165,0.0222109798,0.0326878689
0.4634735261,-1.0981889253,3.4876660669,-2.2738747597,0.0433479473,0.0046133962
0.4633302389,-1.0960556019,3.4863806652,-2.3059492111,0.0402651019,0.0036078724
0.4619735413,-1.0928726515,3.4763006860,-2.3001880646,0.0196670536,0.0318580531
