distance x [m],distance y [m],distance z [m],x anlge [rad],y angle [rad],z angle [rad]
1.7400958319,-0.2755816569,5.8921165930,-3.1240651608,0.6482297182,0.0189007055
1.8040466920,-0.2807143469,6.1068578861,-2.9384837151,0.3021101058,0.0166517645
1.8040466920,-0.2807143469,6.1068578861,-2.9384837151,0.3021101058,0.0166517645
1.8040466920,-0.2807143469,6.1068578861,-2.9384837151,0.3021101058,0.0166517645
1.8040466920,-0.2807143469,6.1068578861,-2.9384837151,0.3021101058,0.0166517645
1.7615654585,-0.2777076060,5.9694227388,3.1375818253,0.5668475628,-0.0034791958
1.8040466920,-0.2807143469,6.1068578861,-2.9384837151,0.3021101058,0.0166517645
1.7638388744,-0.2777552564,5.9718950964,-3.1007654667,0.5103920698,-0.0070468155
1.7885906367,-0.2802052683,6.0552607662,3.1221978664,0.4355695844,0.0086937258
1.7615654585,-0.2777076060,5.9694227388,3.1375818253,0.5668475628,-0.0034791958
1.8040466920,-0.2807143469,6.1068578861,-2.9384837151,0.3021101058,0.0166517645
1.7490522676,-0.2727221655,5.9364229795,-2.8075957298,0.4505154490,0.0255245045
1.7773789426,-0.2768997029,6.0110695561,2.9619259834,0.2080827802,0.0125036379
1.8040466920,-0.2807143469,6.1068578861,-2.9384837151,0.3021101058,0.0166517645
1.7292971458,-0.2691545054,5.8598645897,-2.7646467686,0.5175164342,0.0295439996
1.7655861808,-0.2810723708,5.9782043789,-3.0746314526,0.6083002687,0.0347907878
1.8040466920,-0.2807143469,6.1068578861,-2.9384837151,0.3021101058,0.0166517645
1.8094782760,-0.2821748004,6.1293528449,3.0739076138,0.1296578944,0.0086207101
1.8040466920,-0.2807143469,6.1068578861,-2.9384837151,0.3021101058,0.0166517645
1.8040466920,-0.2807143469,6.1068578861,-2.9384837151,0.3021101058,0.0166517645
1.7539044557,-0.2735424786,5.9533257483,-2.8146326542,0.5664656758,0.0329157040
1.7843066394,-0.2825989416,6.0409102665,3.1233310699,0.4610775113,0.0091954758
1.7615654585,-0.2777076060,5.9694227388,3.1375818253,0.5668475628,-0.0034791958
1.7400958319,-0.2755816569,5.8921165930,-3.1240651608,0.6482297182,0.0189007055
1.7400958319,-0.2755816569,5.8921165930,-3.1240651608,0.6482297182,0.0189007055
1.7667548262,-0.2734458969,5.9861294107,-2.7783226967,0.3856428564,0.0373342894
1.7646651670,-0.2778913286,5.9750683691,-3.0895345211,0.6113251448,-0.0004287124
1.7773789426,-0.2768997029,6.0110695561,2.9619259834,0.2080827802,0.0125036379
1.7712878150,-0.2757397397,6.0013504778,-2.8487155437,0.3584994674,0.0201777238
1.7773789426,-0.2768997029,6.0110695561,2.9619259834,0.2080827802,0.0125036379
1.7638388744,-0.2777552564,5.9718950964,-3.1007654667,0.5103920698,-0.0070468155
1.7615654585,-0.2777076060,5.9694227388,3.1375818253,0.5668475628,-0.0034791958
1.7874479742,-0.2803485435,6.0620604398,-3.0364644527,0.5623522401,0.0129145281
1.7878394542,-0.2832942488,6.0581542729,-3.0803349018,0.5140329003,0.0117584346
1.7400958319,-0.2755816569,5.8921165930,-3.1240651608,0.6482297182,0.0189007055
1.8040466920,-0.2807143469,6.1068578861,-2.9384837151,0.3021101058,0.0166517645
1.8040466920,-0.2807143469,6.1068578861,-2.9384837151,0.3021101058,0.0166517645
1.8113913406,-0.2816900375,6.1272351496,-2.9531683922,0.4333384037,0.0256035626
1.8040466920,-0.2807143469,6.1068578861,-2.9384837151,0.3021101058,0.0166517645
