distance x [m],distance y [m],distance z [m],x anlge [rad],y angle [rad],z angle [rad]
0.3353382642,-0.3999643895,1.8029997930,-3.0596275330,-0.0872808769,-0.0006790971
0.3353382642,-0.3999643895,1.8029997930,-3.0596275330,-0.0872808769,-0.0006790971
0.3798859311,-0.4562087438,2.0491121789,-3.1390154362,-0.0515581332,0.0067462828
0.3348853145,-0.3986893755,1.7982545919,-3.1013550758,-0.0813065246,0.0058151055
0.3356566648,-0.3999929905,1.8047038526,-3.0780491829,-0.0863624811,0.0043013324
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3893132103,-0.4676035813,2.1005180175,-3.1254432201,-0.0297828708,0.0133304009
0.3431399053,-0.4105832908,1.8495460949,-3.1034648418,-0.0146968132,0.0177155323
0.3353382642,-0.3999643895,1.8029997930,-3.0596275330,-0.0872808769,-0.0006790971
0.3350763059,-0.3992509482,1.8024845147,-3.1130757332,-0.0540925339,0.0063245394
0.3358493085,-0.4009208168,1.8090802955,-3.0684771538,-0.0559932478,0.0006892441
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3356566648,-0.3999929905,1.8047038526,-3.0780491829,-0.0863624811,0.0043013324
0.3358493085,-0.4009208168,1.8090802955,-3.0684771538,-0.0559932478,0.0006892441
0.3356566648,-0.3999929905,1.8047038526,-3.0780491829,-0.0863624811,0.0043013324
0.3358493085,-0.4009208168,1.8090802955,-3.0684771538,-0.0559932478,0.0006892441
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3358493085,-0.4009208168,1.8090802955,-3.0684771538,-0.0559932478,0.0006892441
0.3351373006,-0.4000498909,1.8049034169,-3.0794005394,-0.0672862381,0.0094823660
0.3431607576,-0.4109679047,1.8497843083,-3.0795445442,-0.0119211143,0.0133733470
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3353382642,-0.3999643895,1.8029997930,-3.0596275330,-0.0872808769,-0.0006790971
0.3353382642,-0.3999643895,1.8029997930,-3.0596275330,-0.0872808769,-0.0006790971
0.3358493085,-0.4009208168,1.8090802955,-3.0684771538,-0.0559932478,0.0006892441
0.3418769314,-0.4086866099,1.8403033689,-3.1325740814,-0.0127296196,0.0184507445
0.3358493085,-0.4009208168,1.8090802955,-3.0684771538,-0.0559932478,0.0006892441
0.3358493085,-0.4009208168,1.8090802955,-3.0684771538,-0.0559932478,0.0006892441
0.3356566648,-0.3999929905,1.8047038526,-3.0780491829,-0.0863624811,0.0043013324
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3353382642,-0.3999643895,1.8029997930,-3.0596275330,-0.0872808769,-0.0006790971
0.3356566648,-0.3999929905,1.8047038526,-3.0780491829,-0.0863624811,0.0043013324
0.3353382642,-0.3999643895,1.8029997930,-3.0596275330,-0.0872808769,-0.0006790971
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3459383077,-0.4137903655,1.8648029519,-3.0692591667,-0.0088828234,0.0106147425
0.3356566648,-0.3999929905,1.8047038526,-3.0780491829,-0.0863624811,0.0043013324
0.3358493085,-0.4009208168,1.8090802955,-3.0684771538,-0.0559932478,0.0006892441
0.3356566648,-0.3999929905,1.8047038526,-3.0780491829,-0.0863624811,0.0043013324
0.3436968840,-0.4105778458,1.8476975484,-3.0940554142,-0.0112429075,0.0148651563
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3358493085,-0.4009208168,1.8090802955,-3.0684771538,-0.0559932478,0.0006892441
0.3353382642,-0.3999643895,1.8029997930,-3.0596275330,-0.0872808769,-0.0006790971
0.3356566648,-0.3999929905,1.8047038526,-3.0780491829,-0.0863624811,0.0043013324
0.3358493085,-0.4009208168,1.8090802955,-3.0684771538,-0.0559932478,0.0006892441
0.3353382642,-0.3999643895,1.8029997930,-3.0596275330,-0.0872808769,-0.0006790971
0.3447456699,-0.4121769744,1.8556814564,-3.0614616871,-0.0171695333,0.0131695671
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3812089074,-0.4578647720,2.0568183448,-3.1264016628,-0.0301682744,0.0130047789
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3356566648,-0.3999929905,1.8047038526,-3.0780491829,-0.0863624811,0.0043013324
0.3447456699,-0.4121769744,1.8556814564,-3.0614616871,-0.0171695333,0.0131695671
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3358493085,-0.4009208168,1.8090802955,-3.0684771538,-0.0559932478,0.0006892441
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3356566648,-0.3999929905,1.8047038526,-3.0780491829,-0.0863624811,0.0043013324
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3353382642,-0.3999643895,1.8029997930,-3.0596275330,-0.0872808769,-0.0006790971
0.3891674189,-0.4669753934,2.0995751415,3.1349275112,-0.0342745781,0.0179649126
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3356566648,-0.3999929905,1.8047038526,-3.0780491829,-0.0863624811,0.0043013324
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3410680451,-0.4063045617,1.8326267692,-3.0960583687,-0.0424695686,0.0152921481
0.3356566648,-0.3999929905,1.8047038526,-3.0780491829,-0.0863624811,0.0043013324
0.3356566648,-0.3999929905,1.8047038526,-3.0780491829,-0.0863624811,0.0043013324
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3426450706,-0.4108055528,1.8488517560,-3.0870823860,-0.0332441516,0.0088320132
0.3358493085,-0.4009208168,1.8090802955,-3.0684771538,-0.0559932478,0.0006892441
0.3353382642,-0.3999643895,1.8029997930,-3.0596275330,-0.0872808769,-0.0006790971
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3356566648,-0.3999929905,1.8047038526,-3.0780491829,-0.0863624811,0.0043013324
0.3436654252,-0.4101718018,1.8474029035,-3.1163582802,-0.0141337849,0.0190473683
0.3353382642,-0.3999643895,1.8029997930,-3.0596275330,-0.0872808769,-0.0006790971
0.3356566648,-0.3999929905,1.8047038526,-3.0780491829,-0.0863624811,0.0043013324
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3353382642,-0.3999643895,1.8029997930,-3.0596275330,-0.0872808769,-0.0006790971
0.3356566648,-0.3999929905,1.8047038526,-3.0780491829,-0.0863624811,0.0043013324
0.3356566648,-0.3999929905,1.8047038526,-3.0780491829,-0.0863624811,0.0043013324
0.3354038732,-0.4007306784,1.8096671312,-3.0914785862,-0.0364696681,0.0107336547
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3356566648,-0.3999929905,1.8047038526,-3.0780491829,-0.0863624811,0.0043013324
0.3893132103,-0.4676035813,2.1005180175,-3.1254432201,-0.0297828708,0.0133304009
0.3360240738,-0.4007699432,1.8099469744,-3.0883188248,-0.0572502017,0.0052354559
0.3353382642,-0.3999643895,1.8029997930,-3.0596275330,-0.0872808769,-0.0006790971
