distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0122517316,0.0496277655,0.5228206549,3.0682976246,-0.0194410160,-0.0065945643
0.0122517316,0.0496277655,0.5228206549,3.0682976246,-0.0194410160,-0.0065945643
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0122517316,0.0496277655,0.5228206549,3.0682976246,-0.0194410160,-0.0065945643
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0122517316,0.0496277655,0.5228206549,3.0682976246,-0.0194410160,-0.0065945643
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0122517316,0.0496277655,0.5228206549,3.0682976246,-0.0194410160,-0.0065945643
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0122517316,0.0496277655,0.5228206549,3.0682976246,-0.0194410160,-0.0065945643
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0122517316,0.0496277655,0.5228206549,3.0682976246,-0.0194410160,-0.0065945643
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0122517316,0.0496277655,0.5228206549,3.0682976246,-0.0194410160,-0.0065945643
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0122517316,0.0496277655,0.5228206549,3.0682976246,-0.0194410160,-0.0065945643
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0122517316,0.0496277655,0.5228206549,3.0682976246,-0.0194410160,-0.0065945643
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0124130613,0.0494443252,0.5190913281,-3.1214272976,-0.0519204102,-0.0043048230
0.0122517316,0.0496277655,0.5228206549,3.0682976246,-0.0194410160,-0.0065945643
