distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0288785245,-0.1207657164,1.5616900760,-3.0567319393,0.0803035125,0.0403088666
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0283233677,-0.1226405185,1.5686454519,3.1327672005,-0.0214306023,0.0285763945
-0.0262016213,-0.1210943992,1.5484502038,3.0124304295,-0.0624760352,0.0332737751
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0282094294,-0.1180429464,1.5417627457,-2.9866333008,0.1437298506,0.0508159250
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0282094294,-0.1180429464,1.5417627457,-2.9866333008,0.1437298506,0.0508159250
-0.0280085020,-0.1176782969,1.5495324192,-2.9501228333,0.0886042789,0.0576385483
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0300144237,-0.1168815458,1.5344430132,-2.9980142117,0.2218120098,0.0697202459
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0293772560,-0.1156584701,1.5279962218,-2.9955022335,0.2568730712,0.0667537749
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0300144237,-0.1168815458,1.5344430132,-2.9980142117,0.2218120098,0.0697202459
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0283233677,-0.1226405185,1.5686454519,3.1327672005,-0.0214306023,0.0285763945
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0282094294,-0.1180429464,1.5417627457,-2.9866333008,0.1437298506,0.0508159250
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0280085020,-0.1176782969,1.5495324192,-2.9501228333,0.0886042789,0.0576385483
-0.0288785245,-0.1207657164,1.5616900760,-3.0567319393,0.0803035125,0.0403088666
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0283233677,-0.1226405185,1.5686454519,3.1327672005,-0.0214306023,0.0285763945
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0298901332,-0.1208827568,1.5634875828,-3.0501933098,0.1180195436,0.0476852991
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0280085020,-0.1176782969,1.5495324192,-2.9501228333,0.0886042789,0.0576385483
-0.0262016213,-0.1210943992,1.5484502038,3.0124304295,-0.0624760352,0.0332737751
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0282094294,-0.1180429464,1.5417627457,-2.9866333008,0.1437298506,0.0508159250
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0290482474,-0.1164985111,1.5419580154,-2.9640946388,0.1584805250,0.0731041282
-0.0262016213,-0.1210943992,1.5484502038,3.0124304295,-0.0624760352,0.0332737751
-0.0288785245,-0.1207657164,1.5616900760,-3.0567319393,0.0803035125,0.0403088666
-0.0277112937,-0.1191297081,1.5593865730,-2.9469294548,0.0159387384,0.0444719009
-0.0282094294,-0.1180429464,1.5417627457,-2.9866333008,0.1437298506,0.0508159250
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0282094294,-0.1180429464,1.5417627457,-2.9866333008,0.1437298506,0.0508159250
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0282665325,-0.1159852710,1.5265262965,-2.9581634998,0.1945665777,0.0632086024
-0.0262016213,-0.1210943992,1.5484502038,3.0124304295,-0.0624760352,0.0332737751
-0.0282094294,-0.1180429464,1.5417627457,-2.9866333008,0.1437298506,0.0508159250
-0.0282094294,-0.1180429464,1.5417627457,-2.9866333008,0.1437298506,0.0508159250
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0282094294,-0.1180429464,1.5417627457,-2.9866333008,0.1437298506,0.0508159250
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0288785245,-0.1207657164,1.5616900760,-3.0567319393,0.0803035125,0.0403088666
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0288785245,-0.1207657164,1.5616900760,-3.0567319393,0.0803035125,0.0403088666
-0.0282665325,-0.1159852710,1.5265262965,-2.9581634998,0.1945665777,0.0632086024
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0288785245,-0.1207657164,1.5616900760,-3.0567319393,0.0803035125,0.0403088666
-0.0283233677,-0.1226405185,1.5686454519,3.1327672005,-0.0214306023,0.0285763945
-0.0282094294,-0.1180429464,1.5417627457,-2.9866333008,0.1437298506,0.0508159250
-0.0269104120,-0.1208798625,1.5503702176,3.0691938400,-0.0726512894,0.0283354167
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0280085020,-0.1176782969,1.5495324192,-2.9501228333,0.0886042789,0.0576385483
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0273928072,-0.1198460749,1.5620921230,-2.9114034176,-0.0417582393,0.0327344537
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0276489805,-0.1149075426,1.5215710187,-2.9600298405,0.2265713513,0.0599709749
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0282094294,-0.1180429464,1.5417627457,-2.9866333008,0.1437298506,0.0508159250
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0290977174,-0.1185144439,1.5461310665,-3.0050032139,0.1571250707,0.0546046235
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
-0.0262016213,-0.1210943992,1.5484502038,3.0124304295,-0.0624760352,0.0332737751
-0.0288785245,-0.1207657164,1.5616900760,-3.0567319393,0.0803035125,0.0403088666
-0.0288785245,-0.1207657164,1.5616900760,-3.0567319393,0.0803035125,0.0403088666
-0.0288739604,-0.1225747145,1.5595515546,-3.1339061260,0.0879257917,0.0294823088
-0.0285202715,-0.1200493808,1.5584465614,-3.0997602940,0.0351269022,0.0317043103
-0.0288785245,-0.1207657164,1.5616900760,-3.0567319393,0.0803035125,0.0403088666
-0.0270842668,-0.1220528396,1.5545459327,3.0520868301,-0.0575998537,0.0251141489
