distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0418511063,-0.1416920655,2.0990623570,-3.0163815022,0.1924472600,0.0548323654
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0388057603,-0.1418646269,2.0917408491,3.1097800732,-0.2065833509,0.0256777126
-0.0402832848,-0.1434164823,2.0949700010,3.0407967567,-0.1134307086,0.0404206440
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0406840434,-0.1452167398,2.1054370996,3.0238659382,-0.0729607493,0.0353604369
-0.0388057603,-0.1418646269,2.0917408491,3.1097800732,-0.2065833509,0.0256777126
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0388057603,-0.1418646269,2.0917408491,3.1097800732,-0.2065833509,0.0256777126
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0388057603,-0.1418646269,2.0917408491,3.1097800732,-0.2065833509,0.0256777126
-0.0388057603,-0.1418646269,2.0917408491,3.1097800732,-0.2065833509,0.0256777126
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0393648019,-0.1440804076,2.1111446769,3.1330604553,-0.1676379293,0.0197970495
-0.0402832848,-0.1434164823,2.0949700010,3.0407967567,-0.1134307086,0.0404206440
-0.0393648019,-0.1440804076,2.1111446769,3.1330604553,-0.1676379293,0.0197970495
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0388057603,-0.1418646269,2.0917408491,3.1097800732,-0.2065833509,0.0256777126
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0388057603,-0.1418646269,2.0917408491,3.1097800732,-0.2065833509,0.0256777126
-0.0402832848,-0.1434164823,2.0949700010,3.0407967567,-0.1134307086,0.0404206440
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0388057603,-0.1418646269,2.0917408491,3.1097800732,-0.2065833509,0.0256777126
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0405059046,-0.1411986392,2.0764160254,-3.0327382088,0.2088350356,0.0442269407
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0412325513,-0.1440195828,2.0935543661,3.1087386608,0.0850261450,0.0257577281
-0.0406840434,-0.1452167398,2.1054370996,3.0238659382,-0.0729607493,0.0353604369
-0.0402832848,-0.1434164823,2.0949700010,3.0407967567,-0.1134307086,0.0404206440
-0.0402832848,-0.1434164823,2.0949700010,3.0407967567,-0.1134307086,0.0404206440
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0401365906,-0.1419118683,2.0916207110,3.1009829044,-0.1325149536,0.0323038176
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0406840434,-0.1452167398,2.1054370996,3.0238659382,-0.0729607493,0.0353604369
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0414492710,-0.1431665179,2.0894133833,-3.0540878773,0.1449397802,0.0465850607
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
-0.0388057603,-0.1418646269,2.0917408491,3.1097800732,-0.2065833509,0.0256777126
-0.0412684279,-0.1415557926,2.0769581027,-3.1020166874,0.1583217233,0.0382529423
