distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0766022869,-0.1050770479,3.4139084748,-3.0108008385,0.1947623193,0.0740516037
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0766022869,-0.1050770479,3.4139084748,-3.0108008385,0.1947623193,0.0740516037
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0766022869,-0.1050770479,3.4139084748,-3.0108008385,0.1947623193,0.0740516037
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0766022869,-0.1050770479,3.4139084748,-3.0108008385,0.1947623193,0.0740516037
-0.0766022869,-0.1050770479,3.4139084748,-3.0108008385,0.1947623193,0.0740516037
-0.0766022869,-0.1050770479,3.4139084748,-3.0108008385,0.1947623193,0.0740516037
-0.0766022869,-0.1050770479,3.4139084748,-3.0108008385,0.1947623193,0.0740516037
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0766022869,-0.1050770479,3.4139084748,-3.0108008385,0.1947623193,0.0740516037
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0766022869,-0.1050770479,3.4139084748,-3.0108008385,0.1947623193,0.0740516037
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
-0.0759749877,-0.1027005363,3.3812419528,-3.0926790237,0.2327406108,0.0581199788
