distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0404597811,-0.0986081929,1.0247057288,-3.1270251274,-0.5329142213,-0.0072736191
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0406011192,-0.0997950818,1.0269534678,-3.1262774467,-0.5254656672,-0.0072910399
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
-0.0407301559,-0.0996348294,1.0293263894,-3.1397924423,-0.5232660174,-0.0010758583
-0.0408688735,-0.0999917259,1.0240683369,-3.1240377426,-0.5388328433,-0.0137753608
