distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0398209709,-0.1197082802,1.5530359891,-3.1056160927,0.5389348865,0.0471900888
-0.0398209709,-0.1197082802,1.5530359891,-3.1056160927,0.5389348865,0.0471900888
-0.0392740147,-0.1214267636,1.5654967009,-3.1136119366,0.5118497610,0.0355105661
-0.0384582084,-0.1213746615,1.5637879089,-3.1271150112,0.4999364018,0.0352972932
-0.0390827138,-0.1199357259,1.5550421132,-3.1277103424,0.5217556357,0.0281078126
-0.0401140042,-0.1163298037,1.5289816340,-3.0822451115,0.5756273270,0.0680921823
-0.0390180023,-0.1196609343,1.5514391697,-3.1185610294,0.5276047587,0.0468845367
-0.0398209709,-0.1197082802,1.5530359891,-3.1056160927,0.5389348865,0.0471900888
-0.0398209709,-0.1197082802,1.5530359891,-3.1056160927,0.5389348865,0.0471900888
-0.0396272043,-0.1182481144,1.5428754192,-3.1194887161,0.5482550859,0.0396293998
-0.0398209709,-0.1197082802,1.5530359891,-3.1056160927,0.5389348865,0.0471900888
-0.0390827138,-0.1199357259,1.5550421132,-3.1277103424,0.5217556357,0.0281078126
-0.0398209709,-0.1197082802,1.5530359891,-3.1056160927,0.5389348865,0.0471900888
-0.0398209709,-0.1197082802,1.5530359891,-3.1056160927,0.5389348865,0.0471900888
-0.0398209709,-0.1197082802,1.5530359891,-3.1056160927,0.5389348865,0.0471900888
-0.0396272043,-0.1182481144,1.5428754192,-3.1194887161,0.5482550859,0.0396293998
-0.0392740147,-0.1214267636,1.5654967009,-3.1136119366,0.5118497610,0.0355105661
-0.0392740147,-0.1214267636,1.5654967009,-3.1136119366,0.5118497610,0.0355105661
-0.0398209709,-0.1197082802,1.5530359891,-3.1056160927,0.5389348865,0.0471900888
-0.0392740147,-0.1214267636,1.5654967009,-3.1136119366,0.5118497610,0.0355105661
-0.0396272043,-0.1182481144,1.5428754192,-3.1194887161,0.5482550859,0.0396293998
-0.0398209709,-0.1197082802,1.5530359891,-3.1056160927,0.5389348865,0.0471900888
-0.0401140042,-0.1163298037,1.5289816340,-3.0822451115,0.5756273270,0.0680921823
-0.0398209709,-0.1197082802,1.5530359891,-3.1056160927,0.5389348865,0.0471900888
