distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
-0.1534501469,-1.2200804785,7.3210074336,1.7045845985,0.1644120514,-1.5673196316
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0915914056,-0.2040035570,3.9292123846,3.0828588009,0.0947920978,0.0306215361
0.0915914056,-0.2040035570,3.9292123846,3.0828588009,0.0947920978,0.0306215361
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0935251858,-0.1996935861,3.9181067443,3.0734841824,-0.2542356253,0.0182764065
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0935251858,-0.1996935861,3.9181067443,3.0734841824,-0.2542356253,0.0182764065
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
0.0916170055,-0.1972101157,3.8355732908,-3.0913152695,-0.3160937428,-0.0168010909
