distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0455219879,-0.1215570717,2.1629539887,3.1072218418,0.5835168362,-0.0019463736
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0445773524,-0.1217815465,2.1678330733,3.1389083862,0.6097429395,-0.0014403608
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0445773524,-0.1217815465,2.1678330733,3.1389083862,0.6097429395,-0.0014403608
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0455219879,-0.1215570717,2.1629539887,3.1072218418,0.5835168362,-0.0019463736
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.9077970339,-0.7068272404,7.2767657181,1.5846744776,-0.1240904853,-3.1294629574
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0430788856,-0.1159004356,2.0989272734,-3.1386919022,0.6555540562,0.0017515857
0.0430788856,-0.1159004356,2.0989272734,-3.1386919022,0.6555540562,0.0017515857
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0455219879,-0.1215570717,2.1629539887,3.1072218418,0.5835168362,-0.0019463736
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0455219879,-0.1215570717,2.1629539887,3.1072218418,0.5835168362,-0.0019463736
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0448679508,-0.1188413356,2.1336787887,3.1304228306,0.6025676131,-0.0222010575
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0455219879,-0.1215570717,2.1629539887,3.1072218418,0.5835168362,-0.0019463736
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0455219879,-0.1215570717,2.1629539887,3.1072218418,0.5835168362,-0.0019463736
0.0438195648,-0.1187690740,2.1329996909,-3.1060566902,0.6341314912,0.0204976629
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0455219879,-0.1215570717,2.1629539887,3.1072218418,0.5835168362,-0.0019463736
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0455219879,-0.1215570717,2.1629539887,3.1072218418,0.5835168362,-0.0019463736
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0455219879,-0.1215570717,2.1629539887,3.1072218418,0.5835168362,-0.0019463736
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0516430906,-0.1304158001,2.3235476418,-2.9898638725,-0.5743379593,-0.1216891706
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0455219879,-0.1215570717,2.1629539887,3.1072218418,0.5835168362,-0.0019463736
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0455219879,-0.1215570717,2.1629539887,3.1072218418,0.5835168362,-0.0019463736
0.0445773524,-0.1217815465,2.1678330733,3.1389083862,0.6097429395,-0.0014403608
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0455219879,-0.1215570717,2.1629539887,3.1072218418,0.5835168362,-0.0019463736
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0455219879,-0.1215570717,2.1629539887,3.1072218418,0.5835168362,-0.0019463736
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0455219879,-0.1215570717,2.1629539887,3.1072218418,0.5835168362,-0.0019463736
0.0455219879,-0.1215570717,2.1629539887,3.1072218418,0.5835168362,-0.0019463736
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0455219879,-0.1215570717,2.1629539887,3.1072218418,0.5835168362,-0.0019463736
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0445773524,-0.1217815465,2.1678330733,3.1389083862,0.6097429395,-0.0014403608
0.0455219879,-0.1215570717,2.1629539887,3.1072218418,0.5835168362,-0.0019463736
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0458085382,-0.1187330758,2.1311913042,3.1106722355,0.6343826652,-0.0182949789
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
0.0448564168,-0.1188822130,2.1346621428,3.1388888359,0.6593413949,-0.0182205662
