distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0454693349,-0.1188798795,2.1363648257,-3.0429153442,-0.4599510133,-0.0458179526
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0454693349,-0.1188798795,2.1363648257,-3.0429153442,-0.4599510133,-0.0458179526
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0461006166,-0.1200086012,2.1740430337,-3.0812010765,-0.3359312713,-0.0546342805
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0454693349,-0.1188798795,2.1363648257,-3.0429153442,-0.4599510133,-0.0458179526
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0454693349,-0.1188798795,2.1363648257,-3.0429153442,-0.4599510133,-0.0458179526
0.0454693349,-0.1188798795,2.1363648257,-3.0429153442,-0.4599510133,-0.0458179526
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0454693349,-0.1188798795,2.1363648257,-3.0429153442,-0.4599510133,-0.0458179526
0.0460164828,-0.1197438719,2.1691124376,-3.0992913246,-0.3520340621,-0.0175015386
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0454693349,-0.1188798795,2.1363648257,-3.0429153442,-0.4599510133,-0.0458179526
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0438467010,-0.1221352685,2.1741204982,-3.1241443157,0.4247550070,0.0242974870
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0444231759,-0.1189591155,2.1368625721,-3.0757725239,-0.4234076738,-0.0440975726
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0454693349,-0.1188798795,2.1363648257,-3.0429153442,-0.4599510133,-0.0458179526
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0448277139,-0.1104469857,2.0558256687,-3.0098209381,-0.4988764226,-0.0820619762
0.0454693349,-0.1188798795,2.1363648257,-3.0429153442,-0.4599510133,-0.0458179526
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0461006166,-0.1200086012,2.1740430337,-3.0812010765,-0.3359312713,-0.0546342805
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0429812257,-0.1188124562,2.1346437377,-3.0942564011,0.4678023756,-0.0280842520
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0438467010,-0.1221352685,2.1741204982,-3.1241443157,0.4247550070,0.0242974870
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0461006166,-0.1200086012,2.1740430337,-3.0812010765,-0.3359312713,-0.0546342805
0.0454693349,-0.1188798795,2.1363648257,-3.0429153442,-0.4599510133,-0.0458179526
0.0438467010,-0.1221352685,2.1741204982,-3.1241443157,0.4247550070,0.0242974870
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0444231759,-0.1189591155,2.1368625721,-3.0757725239,-0.4234076738,-0.0440975726
0.0432905498,-0.1098459985,2.0263767986,-3.0085065365,-0.5479696989,-0.1041122526
0.0461006166,-0.1200086012,2.1740430337,-3.0812010765,-0.3359312713,-0.0546342805
0.0448277139,-0.1104469857,2.0558256687,-3.0098209381,-0.4988764226,-0.0820619762
0.0428402401,-0.1181750942,2.1046332704,-3.0718240738,-0.4845778942,-0.0661726445
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0454693349,-0.1188798795,2.1363648257,-3.0429153442,-0.4599510133,-0.0458179526
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0454693349,-0.1188798795,2.1363648257,-3.0429153442,-0.4599510133,-0.0458179526
0.0444231759,-0.1189591155,2.1368625721,-3.0757725239,-0.4234076738,-0.0440975726
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0428402401,-0.1181750942,2.1046332704,-3.0718240738,-0.4845778942,-0.0661726445
0.0428402401,-0.1181750942,2.1046332704,-3.0718240738,-0.4845778942,-0.0661726445
0.0428402401,-0.1181750942,2.1046332704,-3.0718240738,-0.4845778942,-0.0661726445
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0429812257,-0.1188124562,2.1346437377,-3.0942564011,0.4678023756,-0.0280842520
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0429812257,-0.1188124562,2.1346437377,-3.0942564011,0.4678023756,-0.0280842520
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0460164828,-0.1197438719,2.1691124376,-3.0992913246,-0.3520340621,-0.0175015386
0.0454693349,-0.1188798795,2.1363648257,-3.0429153442,-0.4599510133,-0.0458179526
0.0448277139,-0.1104469857,2.0558256687,-3.0098209381,-0.4988764226,-0.0820619762
0.0454693349,-0.1188798795,2.1363648257,-3.0429153442,-0.4599510133,-0.0458179526
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0454693349,-0.1188798795,2.1363648257,-3.0429153442,-0.4599510133,-0.0458179526
0.0444231759,-0.1189591155,2.1368625721,-3.0757725239,-0.4234076738,-0.0440975726
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0450998884,-0.1198651187,2.1728041874,-3.0318920612,-0.3820260763,-0.0592198297
0.0454693349,-0.1188798795,2.1363648257,-3.0429153442,-0.4599510133,-0.0458179526
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
0.0419264453,-0.1188675769,2.1347349193,-3.1257987022,0.5035433173,-0.0254578628
