distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
-0.6737644952,-2.7028548143,6.4585941355,2.5841908455,1.1996637583,-2.0138463974
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0011330887,-0.0470671034,0.5088118633,-3.0690140724,-1.0149860382,-0.0768829063
0.0013847719,-0.0466331919,0.5045013311,-3.0618855953,-1.0247768164,-0.0791088864
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0011330887,-0.0470671034,0.5088118633,-3.0690140724,-1.0149860382,-0.0768829063
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0011330887,-0.0470671034,0.5088118633,-3.0690140724,-1.0149860382,-0.0768829063
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013847719,-0.0466331919,0.5045013311,-3.0618855953,-1.0247768164,-0.0791088864
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0011330887,-0.0470671034,0.5088118633,-3.0690140724,-1.0149860382,-0.0768829063
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0011330887,-0.0470671034,0.5088118633,-3.0690140724,-1.0149860382,-0.0768829063
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013847719,-0.0466331919,0.5045013311,-3.0618855953,-1.0247768164,-0.0791088864
0.0011485584,-0.0465261706,0.5055572444,-3.0774748325,-1.0201969147,-0.0698671415
0.0011330887,-0.0470671034,0.5088118633,-3.0690140724,-1.0149860382,-0.0768829063
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013739694,-0.0466243735,0.5066214069,-3.0633840561,-1.0216256380,-0.0859860703
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
0.0013735358,-0.0465190106,0.5057232488,-3.0724351406,-1.0240905285,-0.0701779798
