distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0552753674,-0.1252028934,2.1375100774,-3.1281147003,0.6196654439,0.0412223637
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0552753674,-0.1252028934,2.1375100774,-3.1281147003,0.6196654439,0.0412223637
0.0552753674,-0.1252028934,2.1375100774,-3.1281147003,0.6196654439,0.0412223637
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0552753674,-0.1252028934,2.1375100774,-3.1281147003,0.6196654439,0.0412223637
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0552753674,-0.1252028934,2.1375100774,-3.1281147003,0.6196654439,0.0412223637
0.0552753674,-0.1252028934,2.1375100774,-3.1281147003,0.6196654439,0.0412223637
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0552753674,-0.1252028934,2.1375100774,-3.1281147003,0.6196654439,0.0412223637
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0554188302,-0.1223219804,2.1059988410,-3.1268188953,0.6690128446,0.0254005026
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0552753674,-0.1252028934,2.1375100774,-3.1281147003,0.6196654439,0.0412223637
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0552753674,-0.1252028934,2.1375100774,-3.1281147003,0.6196654439,0.0412223637
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0552753674,-0.1252028934,2.1375100774,-3.1281147003,0.6196654439,0.0412223637
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0552753674,-0.1252028934,2.1375100774,-3.1281147003,0.6196654439,0.0412223637
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0552753674,-0.1252028934,2.1375100774,-3.1281147003,0.6196654439,0.0412223637
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0552753674,-0.1252028934,2.1375100774,-3.1281147003,0.6196654439,0.0412223637
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0554188302,-0.1223219804,2.1059988410,-3.1268188953,0.6690128446,0.0254005026
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0552753674,-0.1252028934,2.1375100774,-3.1281147003,0.6196654439,0.0412223637
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0552753674,-0.1252028934,2.1375100774,-3.1281147003,0.6196654439,0.0412223637
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0542529937,-0.1231565434,2.1383695418,-3.0810103416,0.6438755393,0.0852263123
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
0.0552753674,-0.1252028934,2.1375100774,-3.1281147003,0.6196654439,0.0412223637
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0532402870,-0.1219970560,2.1001566431,-3.1118595600,0.6713140011,0.0671822801
0.0543277415,-0.1220999290,2.1025349789,-3.0894927979,0.6429529190,0.0633388162
