distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0058965387,-0.0139871665,0.5092376836,-3.0771801472,-0.1926953793,0.0066300733
0.0050335113,-0.0141328556,0.5104202935,-2.9973056316,0.1468985826,0.0440628193
0.0058316843,-0.0143977353,0.5142437022,-3.0900921822,-0.1267517358,0.0146518499
0.0057116706,-0.0142124212,0.5068060497,-3.1024627686,-0.2399674803,-0.0004023673
0.0052459391,-0.0144941266,0.5146858572,-2.9975874424,0.0558956042,0.0322812013
0.0058985117,-0.0137371429,0.5065729023,-3.1158123016,-0.2081364989,0.0140764937
0.0052916563,-0.0142329766,0.5160384143,-2.9698517323,0.0393853225,0.0272643194
0.0052459391,-0.0144941266,0.5146858572,-2.9975874424,0.0558956042,0.0322812013
0.0058965387,-0.0139871665,0.5092376836,-3.0771801472,-0.1926953793,0.0066300733
0.0052459391,-0.0144941266,0.5146858572,-2.9975874424,0.0558956042,0.0322812013
0.0058403525,-0.0137478375,0.5128619193,-3.0257370472,-0.1405133605,0.0012654266
0.0058403525,-0.0137478375,0.5128619193,-3.0257370472,-0.1405133605,0.0012654266
0.0052459391,-0.0144941266,0.5146858572,-2.9975874424,0.0558956042,0.0322812013
0.0052459391,-0.0144941266,0.5146858572,-2.9975874424,0.0558956042,0.0322812013
0.0058965387,-0.0139871665,0.5092376836,-3.0771801472,-0.1926953793,0.0066300733
0.0052855873,-0.0137528792,0.5128116394,-3.0239732265,0.1602553278,0.0312275663
0.0052916563,-0.0142329766,0.5160384143,-2.9698517323,0.0393853225,0.0272643194
0.0052917010,-0.0143634295,0.5134431726,-3.0760142803,0.1603303999,0.0433523245
0.0052768907,-0.0135504266,0.5116561201,-3.0667133331,0.1579549015,0.0237973575
0.0058316843,-0.0143977353,0.5142437022,-3.0900921822,-0.1267517358,0.0146518499
0.0055016796,-0.0143159851,0.5130717512,-3.0642888546,-0.0887950286,0.0189049523
0.0052459391,-0.0144941266,0.5146858572,-2.9975874424,0.0558956042,0.0322812013
0.0058403525,-0.0137478375,0.5128619193,-3.0257370472,-0.1405133605,0.0012654266
0.0052459391,-0.0144941266,0.5146858572,-2.9975874424,0.0558956042,0.0322812013
0.0052459391,-0.0144941266,0.5146858572,-2.9975874424,0.0558956042,0.0322812013
0.0052459391,-0.0144941266,0.5146858572,-2.9975874424,0.0558956042,0.0322812013
0.0056110376,-0.0140859641,0.5173613775,-3.0063438416,0.0100640459,0.0162480827
0.0052768907,-0.0135504266,0.5116561201,-3.0667133331,0.1579549015,0.0237973575
0.0056110376,-0.0140859641,0.5173613775,-3.0063438416,0.0100640459,0.0162480827
0.0058403525,-0.0137478375,0.5128619193,-3.0257370472,-0.1405133605,0.0012654266
0.0052916563,-0.0142329766,0.5160384143,-2.9698517323,0.0393853225,0.0272643194
0.0058316843,-0.0143977353,0.5142437022,-3.0900921822,-0.1267517358,0.0146518499
0.0052459391,-0.0144941266,0.5146858572,-2.9975874424,0.0558956042,0.0322812013
0.0058985117,-0.0137371429,0.5065729023,-3.1158123016,-0.2081364989,0.0140764937
0.0058316843,-0.0143977353,0.5142437022,-3.0900921822,-0.1267517358,0.0146518499
0.0058965387,-0.0139871665,0.5092376836,-3.0771801472,-0.1926953793,0.0066300733
0.0049995590,-0.0144197834,0.5145076711,-3.0938327312,0.1943832487,0.0152988108
0.0052459391,-0.0144941266,0.5146858572,-2.9975874424,0.0558956042,0.0322812013
0.0056851411,-0.0148779154,0.5110547640,3.0184950829,-0.0614629202,0.0275233239
0.0052459391,-0.0144941266,0.5146858572,-2.9975874424,0.0558956042,0.0322812013
0.0050335113,-0.0141328556,0.5104202935,-2.9973056316,0.1468985826,0.0440628193
0.0051109071,-0.0139760422,0.5134028592,-3.0026559830,0.1230893061,0.0377015993
0.0051109071,-0.0139760422,0.5134028592,-3.0026559830,0.1230893061,0.0377015993
0.0056110376,-0.0140859641,0.5173613775,-3.0063438416,0.0100640459,0.0162480827
0.0052916563,-0.0142329766,0.5160384143,-2.9698517323,0.0393853225,0.0272643194
0.0051957459,-0.0138846755,0.5093365251,-3.0113813877,0.1874271631,0.0383836478
0.0052916563,-0.0142329766,0.5160384143,-2.9698517323,0.0393853225,0.0272643194
0.0052855873,-0.0137528792,0.5128116394,-3.0239732265,0.1602553278,0.0312275663
0.0058965387,-0.0139871665,0.5092376836,-3.0771801472,-0.1926953793,0.0066300733
0.0056110376,-0.0140859641,0.5173613775,-3.0063438416,0.0100640459,0.0162480827
0.0056110376,-0.0140859641,0.5173613775,-3.0063438416,0.0100640459,0.0162480827
0.0052459391,-0.0144941266,0.5146858572,-2.9975874424,0.0558956042,0.0322812013
0.0051109071,-0.0139760422,0.5134028592,-3.0026559830,0.1230893061,0.0377015993
0.0056110376,-0.0140859641,0.5173613775,-3.0063438416,0.0100640459,0.0162480827
0.0050335113,-0.0141328556,0.5104202935,-2.9973056316,0.1468985826,0.0440628193
0.0058316843,-0.0143977353,0.5142437022,-3.0900921822,-0.1267517358,0.0146518499
0.0062005971,-0.0139738155,0.5092083968,-3.0713596344,-0.2278352380,0.0084162736
0.0056110376,-0.0140859641,0.5173613775,-3.0063438416,0.0100640459,0.0162480827
0.0051957459,-0.0138846755,0.5093365251,-3.0113813877,0.1874271631,0.0383836478
0.0056110376,-0.0140859641,0.5173613775,-3.0063438416,0.0100640459,0.0162480827
0.0050335113,-0.0141328556,0.5104202935,-2.9973056316,0.1468985826,0.0440628193
0.0050335113,-0.0141328556,0.5104202935,-2.9973056316,0.1468985826,0.0440628193
0.0058965387,-0.0139871665,0.5092376836,-3.0771801472,-0.1926953793,0.0066300733
0.0052459391,-0.0144941266,0.5146858572,-2.9975874424,0.0558956042,0.0322812013
0.0052459391,-0.0144941266,0.5146858572,-2.9975874424,0.0558956042,0.0322812013
0.0052768907,-0.0135504266,0.5116561201,-3.0667133331,0.1579549015,0.0237973575
0.0052459391,-0.0144941266,0.5146858572,-2.9975874424,0.0558956042,0.0322812013
0.0052459391,-0.0144941266,0.5146858572,-2.9975874424,0.0558956042,0.0322812013
0.0052916563,-0.0142329766,0.5160384143,-2.9698517323,0.0393853225,0.0272643194
0.0058403525,-0.0137478375,0.5128619193,-3.0257370472,-0.1405133605,0.0012654266
0.0055016796,-0.0143159851,0.5130717512,-3.0642888546,-0.0887950286,0.0189049523
0.0048016015,-0.0138718414,0.5136580883,-3.0777683258,0.1604232937,0.0270978659
0.0053761295,-0.0142005758,0.5100165824,3.0989291668,-0.1683418006,0.0254432764
0.0046040252,-0.0141757070,0.5064006152,-3.0826191902,0.2293505520,0.0296958964
0.0055016796,-0.0143159851,0.5130717512,-3.0642888546,-0.0887950286,0.0189049523
0.0051382512,-0.0138330427,0.5131028414,-3.0657861233,0.1073700860,0.0291980635
0.0053761295,-0.0142005758,0.5100165824,3.0989291668,-0.1683418006,0.0254432764
0.0054260002,-0.0139988538,0.5147743734,-2.9997107983,-0.0394476205,0.0160032827
0.0051109071,-0.0139760422,0.5134028592,-3.0026559830,0.1230893061,0.0377015993
0.0049323073,-0.0135464878,0.5113619701,-3.0682876110,0.2121759802,0.0224447772
0.0052454054,-0.0135024024,0.5146692078,-2.9991023540,0.0560429096,0.0322002880
0.0048016015,-0.0138718414,0.5136580883,-3.0777683258,0.1604232937,0.0270978659
0.0050783674,-0.0139740127,0.5103720514,-3.0480599403,0.1228099391,0.0349614359
0.0049323073,-0.0135464878,0.5113619701,-3.0682876110,0.2121759802,0.0224447772
0.0059104638,-0.0136095321,0.5086692550,3.1330578327,-0.2026790529,0.0220051426
0.0057167981,-0.0138038692,0.5061091352,3.1228539944,-0.2465690821,0.0149323009
0.0058272247,-0.0135927912,0.5158694512,-3.0327653885,-0.1166589484,0.0075951857
0.0058314273,-0.0134071679,0.5142402712,-3.0915737152,-0.1266804487,0.0148773184
0.0053761295,-0.0142005758,0.5100165824,3.0989291668,-0.1683418006,0.0254432764
0.0048016015,-0.0138718414,0.5136580883,-3.0777683258,0.1604232937,0.0270978659
0.0048016015,-0.0138718414,0.5136580883,-3.0777683258,0.1604232937,0.0270978659
0.0053761295,-0.0142005758,0.5100165824,3.0989291668,-0.1683418006,0.0254432764
0.0048016015,-0.0138718414,0.5136580883,-3.0777683258,0.1604232937,0.0270978659
0.0050335113,-0.0141328556,0.5104202935,-2.9973056316,0.1468985826,0.0440628193
0.0057167981,-0.0138038692,0.5061091352,3.1228539944,-0.2465690821,0.0149323009
0.0048016015,-0.0138718414,0.5136580883,-3.0777683258,0.1604232937,0.0270978659
0.0047940896,-0.0140448778,0.5144542009,-3.0230064392,0.1688425243,0.0359873921
0.0055560842,-0.0139913953,0.5117783135,3.1059653759,-0.1226052120,0.0325965807
0.0053761295,-0.0142005758,0.5100165824,3.0989291668,-0.1683418006,0.0254432764
0.0055016796,-0.0143159851,0.5130717512,-3.0642888546,-0.0887950286,0.0189049523
0.0057167981,-0.0138038692,0.5061091352,3.1228539944,-0.2465690821,0.0149323009
0.0057167981,-0.0138038692,0.5061091352,3.1228539944,-0.2465690821,0.0149323009
0.0051382512,-0.0138330427,0.5131028414,-3.0657861233,0.1073700860,0.0291980635
0.0053761295,-0.0142005758,0.5100165824,3.0989291668,-0.1683418006,0.0254432764
0.0051382512,-0.0138330427,0.5131028414,-3.0657861233,0.1073700860,0.0291980635
0.0058314273,-0.0134071679,0.5142402712,-3.0915737152,-0.1266804487,0.0148773184
0.0052454054,-0.0135024024,0.5146692078,-2.9991023540,0.0560429096,0.0322002880
0.0051485896,-0.0136314058,0.5138049610,-2.9424836636,0.1026022881,0.0429591462
0.0052454054,-0.0135024024,0.5146692078,-2.9991023540,0.0560429096,0.0322002880
0.0051382512,-0.0138330427,0.5131028414,-3.0657861233,0.1073700860,0.0291980635
0.0054039190,-0.0137273759,0.5159386034,-2.9688990116,-0.0230868943,0.0210730303
0.0052454054,-0.0135024024,0.5146692078,-2.9991023540,0.0560429096,0.0322002880
0.0047940896,-0.0140448778,0.5144542009,-3.0230064392,0.1688425243,0.0359873921
0.0055560842,-0.0139913953,0.5117783135,3.1059653759,-0.1226052120,0.0325965807
0.0053761295,-0.0142005758,0.5100165824,3.0989291668,-0.1683418006,0.0254432764
0.0048016015,-0.0138718414,0.5136580883,-3.0777683258,0.1604232937,0.0270978659
0.0052454054,-0.0135024024,0.5146692078,-2.9991023540,0.0560429096,0.0322002880
0.0050783674,-0.0139740127,0.5103720514,-3.0480599403,0.1228099391,0.0349614359
0.0054039190,-0.0137273759,0.5159386034,-2.9688990116,-0.0230868943,0.0210730303
0.0048016015,-0.0138718414,0.5136580883,-3.0777683258,0.1604232937,0.0270978659
0.0052454054,-0.0135024024,0.5146692078,-2.9991023540,0.0560429096,0.0322002880
0.0048016015,-0.0138718414,0.5136580883,-3.0777683258,0.1604232937,0.0270978659
0.0048016015,-0.0138718414,0.5136580883,-3.0777683258,0.1604232937,0.0270978659
0.0053761295,-0.0142005758,0.5100165824,3.0989291668,-0.1683418006,0.0254432764
0.0051382512,-0.0138330427,0.5131028414,-3.0657861233,0.1073700860,0.0291980635
