distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0524280128,0.2329713258,3.6736737261,2.9931502342,-0.5547361970,0.0592766292
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0524694817,0.2326743475,3.6696386581,2.9816708565,-0.4842663407,0.0544085167
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0505264477,0.2320608745,3.6608842402,2.9536242485,-0.5254160166,0.0572215132
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0505264477,0.2320608745,3.6608842402,2.9536242485,-0.5254160166,0.0572215132
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0578692960,0.2485361039,3.8855843154,3.1226990223,0.5018771291,0.0084010977
-0.0505264477,0.2320608745,3.6608842402,2.9536242485,-0.5254160166,0.0572215132
