distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0107807985,0.0169184888,0.5750467305,3.0718979836,-0.0246626120,0.0131125972
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0107807985,0.0169184888,0.5750467305,3.0718979836,-0.0246626120,0.0131125972
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0107777514,0.0165180592,0.5750805953,3.0633959770,-0.0102909077,0.0125188855
0.0102628821,0.0164237974,0.5738667928,3.0748453140,0.0030918119,0.0091659175
0.0107777514,0.0165180592,0.5750805953,3.0633959770,-0.0102909077,0.0125188855
0.0105706048,0.0163381961,0.5756299706,3.0519411564,-0.0122282896,0.0115488553
0.0090984200,0.0150649808,0.5683754570,3.0795834064,0.0895737112,0.0014829352
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0107777514,0.0165180592,0.5750805953,3.0633959770,-0.0102909077,0.0125188855
0.0107777514,0.0165180592,0.5750805953,3.0633959770,-0.0102909077,0.0125188855
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0110397869,0.0167610569,0.5756362943,3.0616505146,-0.0243851487,0.0145983668
0.0104826268,0.0162526603,0.5744654514,3.0639507771,0.0055263815,0.0103841331
0.0103285633,0.0164802113,0.5750489111,3.0613138676,-0.0134134600,0.0101963812
0.0107807985,0.0169184888,0.5750467305,3.0718979836,-0.0246626120,0.0131125972
0.0103285633,0.0164802113,0.5750489111,3.0613138676,-0.0134134600,0.0101963812
0.0105706048,0.0163381961,0.5756299706,3.0519411564,-0.0122282896,0.0115488553
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0110397869,0.0167610569,0.5756362943,3.0616505146,-0.0243851487,0.0145983668
0.0107777514,0.0165180592,0.5750805953,3.0633959770,-0.0102909077,0.0125188855
0.0103285633,0.0164802113,0.5750489111,3.0613138676,-0.0134134600,0.0101963812
0.0103285633,0.0164802113,0.5750489111,3.0613138676,-0.0134134600,0.0101963812
0.0103285633,0.0164802113,0.5750489111,3.0613138676,-0.0134134600,0.0101963812
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0100379044,0.0162385593,0.5744535037,3.0631089211,0.0022067653,0.0080486760
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0110397869,0.0167610569,0.5756362943,3.0616505146,-0.0243851487,0.0145983668
0.0104826268,0.0162526603,0.5744654514,3.0639507771,0.0055263815,0.0103841331
0.0102628821,0.0164237974,0.5738667928,3.0748453140,0.0030918119,0.0091659175
0.0107777514,0.0165180592,0.5750805953,3.0633959770,-0.0102909077,0.0125188855
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0107777514,0.0165180592,0.5750805953,3.0633959770,-0.0102909077,0.0125188855
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0110397869,0.0167610569,0.5756362943,3.0616505146,-0.0243851487,0.0145983668
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0103285633,0.0164802113,0.5750489111,3.0613138676,-0.0134134600,0.0101963812
0.0103285633,0.0164802113,0.5750489111,3.0613138676,-0.0134134600,0.0101963812
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0100379044,0.0162385593,0.5744535037,3.0631089211,0.0022067653,0.0080486760
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0107807985,0.0169184888,0.5750467305,3.0718979836,-0.0246626120,0.0131125972
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0104826268,0.0162526603,0.5744654514,3.0639507771,0.0055263815,0.0103841331
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0107777514,0.0165180592,0.5750805953,3.0633959770,-0.0102909077,0.0125188855
0.0100379044,0.0162385593,0.5744535037,3.0631089211,0.0022067653,0.0080486760
0.0107807985,0.0169184888,0.5750467305,3.0718979836,-0.0246626120,0.0131125972
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0102578309,0.0160879255,0.5750345653,3.0533196926,0.0046072463,0.0092514968
0.0103285633,0.0164802113,0.5750489111,3.0613138676,-0.0134134600,0.0101963812
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0107777514,0.0165180592,0.5750805953,3.0633959770,-0.0102909077,0.0125188855
0.0107777514,0.0165180592,0.5750805953,3.0633959770,-0.0102909077,0.0125188855
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0107807985,0.0169184888,0.5750467305,3.0718979836,-0.0246626120,0.0131125972
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0107807985,0.0169184888,0.5750467305,3.0718979836,-0.0246626120,0.0131125972
0.0105357795,0.0166818206,0.5744816358,3.0739440918,-0.0115094744,0.0111538246
0.0107807985,0.0169184888,0.5750467305,3.0718979836,-0.0246626120,0.0131125972
0.0103285633,0.0164802113,0.5750489111,3.0613138676,-0.0134134600,0.0101963812
