distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0245876744,-0.0659749283,2.8603070220,-3.0955021381,1.1147062778,0.0005750452
0.0258473479,-0.0660252440,2.8618765925,-3.1184458733,1.0919328928,0.0004861883
0.0246024344,-0.0660399914,2.8619344667,-3.1407213211,1.1144537926,0.0015069218
0.0258473479,-0.0660252440,2.8618765925,-3.1184458733,1.0919328928,0.0004861883
0.0245876744,-0.0659749283,2.8603070220,-3.0955021381,1.1147062778,0.0005750452
0.0233569925,-0.0660262281,2.8619476323,-3.1177630424,1.1366583109,0.0015829487
0.0246024344,-0.0660399914,2.8619344667,-3.1407213211,1.1144537926,0.0015069218
0.0258473479,-0.0660252440,2.8618765925,-3.1184458733,1.0919328928,0.0004861883
0.0246024344,-0.0660399914,2.8619344667,-3.1407213211,1.1144537926,0.0015069218
0.0246024344,-0.0660399914,2.8619344667,-3.1407213211,1.1144537926,0.0015069218
0.0275118690,-0.0687106204,2.9219624667,-3.0199587345,-1.0574609041,-0.1275995821
0.0246024344,-0.0660399914,2.8619344667,-3.1407213211,1.1144537926,0.0015069218
0.0233569925,-0.0660262281,2.8619476323,-3.1177630424,1.1366583109,0.0015829487
0.0245876744,-0.0659749283,2.8603070220,-3.0955021381,1.1147062778,0.0005750452
0.0246024344,-0.0660399914,2.8619344667,-3.1407213211,1.1144537926,0.0015069218
0.0245876744,-0.0659749283,2.8603070220,-3.0955021381,1.1147062778,0.0005750452
0.0258473479,-0.0660252440,2.8618765925,-3.1184458733,1.0919328928,0.0004861883
0.0245876744,-0.0659749283,2.8603070220,-3.0955021381,1.1147062778,0.0005750452
0.0220740202,-0.0660386239,2.8619172986,-3.1411416531,1.1135340929,0.0005068650
0.0258473479,-0.0660252440,2.8618765925,-3.1184458733,1.0919328928,0.0004861883
0.0258473479,-0.0660252440,2.8618765925,-3.1184458733,1.0919328928,0.0004861883
0.0246024344,-0.0660399914,2.8619344667,-3.1407213211,1.1144537926,0.0015069218
0.0275118690,-0.0687106204,2.9219624667,-3.0199587345,-1.0574609041,-0.1275995821
0.0258473479,-0.0660252440,2.8618765925,-3.1184458733,1.0919328928,0.0004861883
0.0261974248,-0.0687057283,2.9211489202,-3.0381143093,-1.0814819336,-0.1333554983
0.0258473479,-0.0660252440,2.8618765925,-3.1184458733,1.0919328928,0.0004861883
0.0246024344,-0.0660399914,2.8619344667,-3.1407213211,1.1144537926,0.0015069218
0.0275118690,-0.0687106204,2.9219624667,-3.0199587345,-1.0574609041,-0.1275995821
0.0261974248,-0.0687057283,2.9211489202,-3.0381143093,-1.0814819336,-0.1333554983
0.0258473479,-0.0660252440,2.8618765925,-3.1184458733,1.0919328928,0.0004861883
0.0275118690,-0.0687106204,2.9219624667,-3.0199587345,-1.0574609041,-0.1275995821
0.0245876744,-0.0659749283,2.8603070220,-3.0955021381,1.1147062778,0.0005750452
0.0258473479,-0.0660252440,2.8618765925,-3.1184458733,1.0919328928,0.0004861883
