distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0269440292,-0.0660181009,2.8602915616,3.1187059879,-1.0738154650,-0.0003086371
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0262285657,-0.0687057184,2.9210957746,3.0929586887,-1.0382400751,0.0422203355
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0262285657,-0.0687057184,2.9210957746,3.0929586887,-1.0382400751,0.0422203355
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0262285657,-0.0687057184,2.9210957746,3.0929586887,-1.0382400751,0.0422203355
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0269440292,-0.0660181009,2.8602915616,3.1187059879,-1.0738154650,-0.0003086371
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0262285657,-0.0687057184,2.9210957746,3.0929586887,-1.0382400751,0.0422203355
0.0269440292,-0.0660181009,2.8602915616,3.1187059879,-1.0738154650,-0.0003086371
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0262285657,-0.0687057184,2.9210957746,3.0929586887,-1.0382400751,0.0422203355
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0269440292,-0.0660181009,2.8602915616,3.1187059879,-1.0738154650,-0.0003086371
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0262285657,-0.0687057184,2.9210957746,3.0929586887,-1.0382400751,0.0422203355
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0269440292,-0.0660181009,2.8602915616,3.1187059879,-1.0738154650,-0.0003086371
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0253410015,-0.0660017998,2.8073085787,-3.0669815540,1.1011941433,0.0466831066
0.0252414100,-0.0660279392,2.8078348722,-3.0934894085,-1.0604652166,-0.0420781597
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0269440292,-0.0660181009,2.8602915616,3.1187059879,-1.0738154650,-0.0003086371
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0269440292,-0.0660181009,2.8602915616,3.1187059879,-1.0738154650,-0.0003086371
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0262285657,-0.0687057184,2.9210957746,3.0929586887,-1.0382400751,0.0422203355
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0252414100,-0.0660279392,2.8078348722,-3.0934894085,-1.0604652166,-0.0420781597
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0262285657,-0.0687057184,2.9210957746,3.0929586887,-1.0382400751,0.0422203355
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0252414100,-0.0660279392,2.8078348722,-3.0934894085,-1.0604652166,-0.0420781597
0.0269440292,-0.0660181009,2.8602915616,3.1187059879,-1.0738154650,-0.0003086371
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0269440292,-0.0660181009,2.8602915616,3.1187059879,-1.0738154650,-0.0003086371
0.0253410015,-0.0660017998,2.8073085787,-3.0669815540,1.1011941433,0.0466831066
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0262285657,-0.0687057184,2.9210957746,3.0929586887,-1.0382400751,0.0422203355
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0269440292,-0.0660181009,2.8602915616,3.1187059879,-1.0738154650,-0.0003086371
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0269440292,-0.0660181009,2.8602915616,3.1187059879,-1.0738154650,-0.0003086371
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
0.0257107081,-0.0660368706,2.8617242345,3.1409049034,-1.0507280827,0.0007083202
