distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0073989023,-0.0526822407,1.1200691899,3.1263308525,1.0791333914,0.0026216989
0.0073989023,-0.0526822407,1.1200691899,3.1263308525,1.0791333914,0.0026216989
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0073989023,-0.0526822407,1.1200691899,3.1263308525,1.0791333914,0.0026216989
0.0073989023,-0.0526822407,1.1200691899,3.1263308525,1.0791333914,0.0026216989
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0073989023,-0.0526822407,1.1200691899,3.1263308525,1.0791333914,0.0026216989
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0073989023,-0.0526822407,1.1200691899,3.1263308525,1.0791333914,0.0026216989
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0073989023,-0.0526822407,1.1200691899,3.1263308525,1.0791333914,0.0026216989
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0073989023,-0.0526822407,1.1200691899,3.1263308525,1.0791333914,0.0026216989
0.0073989023,-0.0526822407,1.1200691899,3.1263308525,1.0791333914,0.0026216989
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0073989023,-0.0526822407,1.1200691899,3.1263308525,1.0791333914,0.0026216989
0.0073989023,-0.0526822407,1.1200691899,3.1263308525,1.0791333914,0.0026216989
0.0073989023,-0.0526822407,1.1200691899,3.1263308525,1.0791333914,0.0026216989
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0073989023,-0.0526822407,1.1200691899,3.1263308525,1.0791333914,0.0026216989
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0073989023,-0.0526822407,1.1200691899,3.1263308525,1.0791333914,0.0026216989
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0074830598,-0.0526630751,1.1304336456,-3.1398231983,1.0737634897,0.0176908281
0.0073989023,-0.0526822407,1.1200691899,3.1263308525,1.0791333914,0.0026216989
