distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0148116719,-0.0537996093,1.1227968018,-3.0948686600,-1.0287061930,-0.0643912852
0.0148116719,-0.0537996093,1.1227968018,-3.0948686600,-1.0287061930,-0.0643912852
0.0148116719,-0.0537996093,1.1227968018,-3.0948686600,-1.0287061930,-0.0643912852
0.0148116719,-0.0537996093,1.1227968018,-3.0948686600,-1.0287061930,-0.0643912852
0.0148116719,-0.0537996093,1.1227968018,-3.0948686600,-1.0287061930,-0.0643912852
0.0148116719,-0.0537996093,1.1227968018,-3.0948686600,-1.0287061930,-0.0643912852
0.0148966035,-0.0536736531,1.1304167789,-3.1146707535,-1.0256515741,-0.0474494435
0.0143336329,-0.0537956134,1.1230462507,-3.0871920586,-1.0197393894,-0.0625473857
0.0148116719,-0.0537996093,1.1227968018,-3.0948686600,-1.0287061930,-0.0643912852
0.0147027835,-0.0528438410,1.1133050518,-3.0765891075,-1.0332452059,-0.0801138654
0.0148116719,-0.0537996093,1.1227968018,-3.0948686600,-1.0287061930,-0.0643912852
0.0148116719,-0.0537996093,1.1227968018,-3.0948686600,-1.0287061930,-0.0643912852
0.0148116719,-0.0537996093,1.1227968018,-3.0948686600,-1.0287061930,-0.0643912852
0.0153167697,-0.0537964657,1.1223591745,-3.1059045792,-1.0192312002,-0.0624229424
0.0148966035,-0.0536736531,1.1304167789,-3.1146707535,-1.0256515741,-0.0474494435
0.0148116719,-0.0537996093,1.1227968018,-3.0948686600,-1.0287061930,-0.0643912852
0.0143336329,-0.0537956134,1.1230462507,-3.0871920586,-1.0197393894,-0.0625473857
0.0148966035,-0.0536736531,1.1304167789,-3.1146707535,-1.0256515741,-0.0474494435
0.0148116719,-0.0537996093,1.1227968018,-3.0948686600,-1.0287061930,-0.0643912852
0.0153167697,-0.0537964657,1.1223591745,-3.1059045792,-1.0192312002,-0.0624229424
0.0148116719,-0.0537996093,1.1227968018,-3.0948686600,-1.0287061930,-0.0643912852
0.0148966035,-0.0536736531,1.1304167789,-3.1146707535,-1.0256515741,-0.0474494435
