distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
0.0089560816,-0.0320657996,4.7661764942,-3.1342551708,-0.4077611864,-0.0029086911
