distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0830006478,-0.1097599690,3.5564680040,3.1261396408,-1.1087518930,0.0132214399
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0834412644,-0.1097537381,3.5037823555,-3.0922038555,-1.1349966526,-0.0286211576
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0834412644,-0.1097537381,3.5037823555,-3.0922038555,-1.1349966526,-0.0286211576
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0834412644,-0.1097537381,3.5037823555,-3.0922038555,-1.1349966526,-0.0286211576
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
-0.0834412644,-0.1097537381,3.5037823555,-3.0922038555,-1.1349966526,-0.0286211576
-0.0801221973,-0.1097497690,3.5037637965,-3.0928614140,-1.1341168880,-0.0273941327
-0.0817477972,-0.1097745064,3.5037312174,-3.1124284267,-1.1161580086,-0.0263416134
