distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0634230990,-0.1869154235,3.5526045947,-3.1267366409,1.0873906612,0.0288277455
-0.0607613633,-0.1823059619,3.4968268891,3.1374640465,1.1138761044,-0.0045208773
-0.0634230990,-0.1869154235,3.5526045947,-3.1267366409,1.0873906612,0.0288277455
-0.0616094713,-0.1832582062,3.5469581090,3.0931687355,1.1069128513,-0.0444436446
-0.0501276908,-0.1813190758,3.4470456698,-3.1009218693,1.1228437424,0.0367757455
-0.0542286359,-0.1857076588,3.4981369015,-3.1044423580,1.0779438019,0.0649799705
-0.0542286359,-0.1857076588,3.4981369015,-3.1044423580,1.0779438019,0.0649799705
-0.0542286359,-0.1857076588,3.4981369015,-3.1044423580,1.0779438019,0.0649799705
-0.0499436088,-0.1806924515,3.4333654502,-3.0453920364,1.1168869734,0.1829766035
-0.0549746202,-0.1808791031,3.4375957602,-3.0868229866,1.0671254396,0.0956698731
-0.0509630560,-0.1858847703,3.5010075538,-3.0638287067,1.0742366314,0.1337303072
-0.0542286359,-0.1857076588,3.4981369015,-3.1044423580,1.0779438019,0.0649799705
-0.0517363689,-0.1809386531,3.4382528032,-3.0484263897,1.0627025366,0.1616609246
-0.0534629795,-0.1846098673,3.4470755801,-3.0623431206,1.0835595131,0.1020954996
-0.0653903341,-0.1766324523,3.3875322781,-3.1019730568,1.0903139114,0.0664563850
-0.0664256646,-0.1811377505,3.4423981461,3.1412203312,1.0829101801,0.0311343037
-0.0690894955,-0.1855439286,3.4942862509,-3.1271476746,1.0557553768,0.0607795529
-0.0690894955,-0.1855439286,3.4942862509,-3.1271476746,1.0557553768,0.0607795529
-1.1005929763,-0.3724847299,2.8199596594,1.9305415154,0.7846887708,0.4634369016
-0.0690894955,-0.1855439286,3.4942862509,-3.1271476746,1.0557553768,0.0607795529
-0.0669644525,-0.1764946696,3.3843524765,-3.1231346130,1.0725829601,0.0628991574
-0.0664264602,-0.1777552834,3.4392370101,-3.1116991043,1.0448234081,0.0898543671
-0.0690894955,-0.1855439286,3.4942862509,-3.1271476746,1.0557553768,0.0607795529
-0.0664264602,-0.1777552834,3.4392370101,-3.1116991043,1.0448234081,0.0898543671
-0.0664264602,-0.1777552834,3.4392370101,-3.1116991043,1.0448234081,0.0898543671
-0.0664264602,-0.1777552834,3.4392370101,-3.1116991043,1.0448234081,0.0898543671
