distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0003197584,-0.0765954683,0.5148860039,-3.1217775345,0.0036503465,0.0063841473
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0001830096,-0.0769776601,0.5154180172,-3.1247072220,-0.0031840447,0.0046017906
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0007586519,-0.0762956501,0.5149763583,-3.1183898449,0.0134512037,0.0048130779
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0001830096,-0.0769776601,0.5154180172,-3.1247072220,-0.0031840447,0.0046017906
-0.0001830096,-0.0769776601,0.5154180172,-3.1247072220,-0.0031840447,0.0046017906
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0006117676,-0.0758511462,0.5161835849,-3.0994102955,0.0058654561,0.0078878962
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0007586519,-0.0762956501,0.5149763583,-3.1183898449,0.0134512037,0.0048130779
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0001830096,-0.0769776601,0.5154180172,-3.1247072220,-0.0031840447,0.0046017906
-0.0003197584,-0.0765954683,0.5148860039,-3.1217775345,0.0036503465,0.0063841473
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0003197584,-0.0765954683,0.5148860039,-3.1217775345,0.0036503465,0.0063841473
-0.0003197584,-0.0765954683,0.5148860039,-3.1217775345,0.0036503465,0.0063841473
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0001830096,-0.0769776601,0.5154180172,-3.1247072220,-0.0031840447,0.0046017906
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0003197584,-0.0765954683,0.5148860039,-3.1217775345,0.0036503465,0.0063841473
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0001696662,-0.0761683841,0.5160569176,-3.1039435863,-0.0041050250,0.0093659824
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0003197584,-0.0765954683,0.5148860039,-3.1217775345,0.0036503465,0.0063841473
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
-0.0010748442,-0.0761853341,0.5159974462,-3.1050982475,0.0169274528,0.0064673610
-0.0006345236,-0.0764982028,0.5159107517,-3.1090691090,0.0070377807,0.0079583582
