distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0177026122,-0.1294238827,1.5664953678,-3.0698122978,1.1624232531,0.1157979146
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0192686781,-0.1280520775,1.5309716367,3.1098418236,1.1377274990,0.0440618545
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0177496662,-0.1294087716,1.5750013191,-3.0976405144,1.1449820995,0.0911334231
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0192686781,-0.1280520775,1.5309716367,3.1098418236,1.1377274990,0.0440618545
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
0.0170481732,-0.1294689056,1.5760687180,-3.0875318050,1.1523300409,0.0927399397
