distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0348201076,-0.0935385238,1.5733230592,-3.0948913097,0.5842632055,0.0248783119
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0339350468,-0.0932818788,1.5685431645,-3.1263291836,0.6135133505,-0.0032097036
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0348201076,-0.0935385238,1.5733230592,-3.0948913097,0.5842632055,0.0248783119
0.0348201076,-0.0935385238,1.5733230592,-3.0948913097,0.5842632055,0.0248783119
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0339350468,-0.0932818788,1.5685431645,-3.1263291836,0.6135133505,-0.0032097036
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0327978588,-0.0930657033,1.5525594882,-3.1152274609,0.6472182870,0.0154354656
0.0348201076,-0.0935385238,1.5733230592,-3.0948913097,0.5842632055,0.0248783119
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0348201076,-0.0935385238,1.5733230592,-3.0948913097,0.5842632055,0.0248783119
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0348201076,-0.0935385238,1.5733230592,-3.0948913097,0.5842632055,0.0248783119
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0339350468,-0.0932818788,1.5685431645,-3.1263291836,0.6135133505,-0.0032097036
0.0348201076,-0.0935385238,1.5733230592,-3.0948913097,0.5842632055,0.0248783119
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0348201076,-0.0935385238,1.5733230592,-3.0948913097,0.5842632055,0.0248783119
0.0348201076,-0.0935385238,1.5733230592,-3.0948913097,0.5842632055,0.0248783119
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0348201076,-0.0935385238,1.5733230592,-3.0948913097,0.5842632055,0.0248783119
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0348201076,-0.0935385238,1.5733230592,-3.0948913097,0.5842632055,0.0248783119
0.0348201076,-0.0935385238,1.5733230592,-3.0948913097,0.5842632055,0.0248783119
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0335647994,-0.0930582220,1.5530416083,-3.0980224609,0.6267259121,0.0131179662
0.0348201076,-0.0935385238,1.5733230592,-3.0948913097,0.5842632055,0.0248783119
0.0338815530,-0.0913080890,1.5362883587,-3.0994737148,0.6615891457,0.0015250001
0.0348201076,-0.0935385238,1.5733230592,-3.0948913097,0.5842632055,0.0248783119
